"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"412","Antigua and Barbuda","201404",0,0,0,0,2,2512,1256,2493,1,2,0,0,3.7931901393885e-10,19
"413","Switzerland","201404",0,0,0,0,10,2530971,253097.1,1970493,1,10,0,19,0.0459630618892347,14
"414","Singapore","201404",0,0,0,0,8,911075,113884.375,795578,1,8,0,8,2.44080338117381e-05,16
"415","Ethiopia","201404",0,0,0,0,1,414,414,414,1,1,0,0,4.42422343396012e-07,3
"416","Zambia","201404",0,0,0,0,1,5,5,5,1,1,0,0,1.06649354875119e-17,20
"417","Qatar","201404",0,0,0,0,16,225365,14085.3125,147860,1,16,0,9,0.000155104311804351,9
"418","Bermuda","201404",0,0,0,0,2,10943,5471.5,10768,1,2,0,0,1.52478679942651e-06,8
"419","Fiji","201404",0,0,0,0,1,171,171,171,1,1,0,0,3.18614947689417e-15,15
"420","Mozambique","201404",0,0,0,0,1,12010,12010,12010,1,1,0,0,1.33311693593898e-17,20
"421","Aruba","201404",0,0,0,0,2,37875,18937.5,20178,1,2,0,0,3.07015664136052e-09,8
"422","China, Hong Kong SAR","201404",0,0,0,0,12,337961,28163.4166666667,272945,1,12,0,10,5.51603943040654e-05,15
"423","Norway","201404",0,0,0,0,7,551178,78739.7142857143,346439,1,7,0,14,0.0121802834627843,4
"424","Cyprus","201404",0,0,0,0,2,21601,10800.5,20827,1,2,0,0,2.6973500658994e-05,12
"425","Montserrat","201404",0,0,0,0,1,304,304,304,1,1,0,0,1.33311693593898e-17,19
"426","Romania","201405",10,1945410,194541,1140215,10,101278,10127.8,48474,-0.901032301943433,20,72,70,0.00322284002899377,1
"427","Turkey","201405",14,2242978,160212.714285714,1588139,0,0,0,0,-1,14,0,29,0.00277808101443118,1
"428","Albania","201405",6,223362,37227,92073,0,0,0,0,-1,6,0,6,1.61377134759496e-05,1
"429","Czech Rep.","201405",8,609989,76248.625,559517,18,5027856,279325.333333333,1311346,0.783609162720862,26,1181,109,0.0668718870206489,1
"430","Greece","201405",11,861871,78351.9090909091,284454,5,42191,8438.2,38803,-0.906663481044442,16,102,41,0.00453985795038334,1
"431","TFYR of Macedonia","201405",13,1784379,137259.923076923,923778,1,13483,13483,13483,-0.985001073497298,14,0,33,0.00228730534124536,1
"432","Poland","201405",16,982799,61424.9375,331128,9,559506,62167.3333333333,386878,-0.274454793312607,25,403,91,0.00694968673912975,1
"433","Honduras","201405",3,21472,7157.33333333333,17187,0,0,0,0,-1,3,0,2,2.84932728559843e-08,2
"434","Belgium","201405",13,3008299,231407.615384615,1357652,5,4395537,879107.4,3580805,0.187367467350708,18,71,56,0.203040468162946,1
"435","France","201405",18,901484,50082.4444444444,288931,14,5213848,372417.714285714,2535720,0.705172507396164,32,371,105,0.102481526960617,1
