period,trade_value_usd,origin,destin,period_date
201504,12250,Turkey,Sweden,2015-04-01
201504,20918,Denmark,Sweden,2015-04-01
201504,3814,Morocco,Sweden,2015-04-01
201504,1834411,Netherlands,Sweden,2015-04-01
201504,387962,Spain,Sweden,2015-04-01
201404,316,United States of America,Panama,2014-04-01
201405,63885,Austria,Netherlands,2014-05-01
201405,1035384,Belgium,Netherlands,2014-05-01
201405,4082,Czech Rep.,Netherlands,2014-05-01
201405,205507,Germany,Netherlands,2014-05-01
201405,69178,Greece,Netherlands,2014-05-01
201405,8232,Lithuania,Netherlands,2014-05-01
201405,994304,Spain,Netherlands,2014-05-01
201405,313,Suriname,Netherlands,2014-05-01
201405,1905,Egypt,Netherlands,2014-05-01
201504,366556,Albania,TFYR of Macedonia,2015-04-01
201504,8038,Greece,TFYR of Macedonia,2015-04-01
201404,266710,Germany,Slovakia,2014-04-01
201408,22230,Bulgaria,Greece,2014-08-01
201408,13,Netherlands,Greece,2014-08-01
201408,143680,Turkey,Greece,2014-08-01
201404,400,Austria,Denmark,2014-04-01
201404,1284,Belgium,Denmark,2014-04-01
201404,16,Bulgaria,Denmark,2014-04-01
201404,77,Czech Rep.,Denmark,2014-04-01
201404,14,Estonia,Denmark,2014-04-01
201504,6295,Belgium,Austria,2015-04-01
201504,11684,Cyprus,Austria,2015-04-01
201504,14444,France,Austria,2015-04-01
201504,487469,Germany,Austria,2015-04-01
201504,109008,Greece,Austria,2015-04-01
201504,1046,Hungary,Austria,2015-04-01
201504,1121,Israel,Austria,2015-04-01
201504,71594,Italy,Austria,2015-04-01
201504,316838,Netherlands,Austria,2015-04-01
201504,479256,Spain,Austria,2015-04-01
201504,158882,Turkey,Austria,2015-04-01
201404,60,Finland,Denmark,2014-04-01
201404,740,France,Denmark,2014-04-01
201404,123185,Germany,Denmark,2014-04-01
201404,3385,Greece,Denmark,2014-04-01
201404,65,Hungary,Denmark,2014-04-01
201404,26,Ireland,Denmark,2014-04-01
201404,1268,Italy,Denmark,2014-04-01
201404,7713,Jordan,Denmark,2014-04-01
201404,3,Latvia,Denmark,2014-04-01
201404,734153,Netherlands,Denmark,2014-04-01
201404,5325,Poland,Denmark,2014-04-01
201404,1183,Portugal,Denmark,2014-04-01
201404,732429,Spain,Denmark,2014-04-01
201404,13488,Sweden,Denmark,2014-04-01
201404,30348,Turkey,Denmark,2014-04-01
201404,5605,United Kingdom,Denmark,2014-04-01
201504,137,Dominican Rep.,Finland,2015-04-01
201504,1821,Estonia,Finland,2015-04-01
201504,16235,Germany,Finland,2015-04-01
201504,267367,Netherlands,Finland,2015-04-01
201504,27235,Norway,Finland,2015-04-01
201504,30800,Panama,Finland,2015-04-01
201504,162811,Spain,Finland,2015-04-01
201504,15408,Brazil,Paraguay,2015-04-01
201404,2063,Albania,Bosnia Herzegovina,2014-04-01
201404,3062,Croatia,Bosnia Herzegovina,2014-04-01
201404,48706,Italy,Bosnia Herzegovina,2014-04-01
