Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201005,May 2010,4,0,2,Exports,702,Singapore,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1113184,,,0
HS,2010,201005,May 2010,4,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,1006,Rice,0,,,,,,31353034,,26930350,,,0
HS,2010,201005,May 2010,4,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,1006,Rice,0,,,,,,9900,,3150,,,0
HS,2010,201002,February 2010,4,0,1,Imports,352,Iceland,,0,World,,,,,,,,,1006,Rice,0,,,,,,174010,,294833,,,0
HS,2010,201002,February 2010,4,0,1,Imports,792,Turkey,,0,World,,,,,,,,,1006,Rice,0,,,,,,51028210,,27991896,,,0
HS,2010,201003,March 2010,4,0,1,Imports,56,Belgium,,0,World,,,,,,,,,1006,Rice,0,,,,,,35837163,,24371421,,,0
HS,2010,201003,March 2010,4,0,2,Exports,480,Mauritius,,0,World,,,,,,,,,1006,Rice,0,,,,,,6769,,9897,,,0
HS,2010,201003,March 2010,4,0,2,Exports,348,Hungary,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,609438,,,0
HS,2010,201003,March 2010,4,0,1,Imports,348,Hungary,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,1266151,,,0
HS,2010,201003,March 2010,4,0,2,Exports,233,Estonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,21914,,24222,,,0
HS,2010,201003,March 2010,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,1006,Rice,0,,,,,,4836006,,5080062,,,0
HS,2010,201003,March 2010,4,0,2,Exports,710,South Africa,,0,World,,,,,,,,,1006,Rice,0,,,,,,4158977,,5116543,,,0
HS,2010,201003,March 2010,4,0,2,Exports,56,Belgium,,0,World,,,,,,,,,1006,Rice,0,,,,,,18701967,,20059941,,,0
HS,2010,201003,March 2010,4,0,1,Imports,710,South Africa,,0,World,,,,,,,,,1006,Rice,0,,,,,,52842319,,33925747,,,0
HS,2010,201003,March 2010,4,0,2,Exports,792,Turkey,,0,World,,,,,,,,,1006,Rice,0,,,,,,114343,,192230,,,0
HS,2010,201003,March 2010,4,0,1,Imports,233,Estonia,,0,World,,,,,,,,,1006,Rice,0,,,,,,344310,,284609,,,0
HS,2010,201003,March 2010,4,0,1,Imports,484,Mexico,,0,World,,,,,,,,,1006,Rice,0,,,,,,81215420,,32096239,,,0
HS,2010,201003,March 2010,4,0,1,Imports,51,Armenia,,0,World,,,,,,,,,1006,Rice,0,,,,,,956120,,594639,,,0
HS,2010,201003,March 2010,4,0,1,Imports,792,Turkey,,0,World,,,,,,,,,1006,Rice,0,,,,,,71977389,,38098756,,,0
HS,2010,201003,March 2010,4,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,1006,Rice,0,,,,,,3515681,,2204068,,,0
HS,2010,201003,March 2010,4,0,2,Exports,620,Portugal,,0,World,,,,,,,,,1006,Rice,0,,,,,,4172282,,1918072,,,0
HS,2010,201003,March 2010,4,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,1006,Rice,0,,,,,,63,,48,,,0
HS,2010,201003,March 2010,4,0,1,Imports,620,Portugal,,0,World,,,,,,,,,1006,Rice,0,,,,,,6032829,,4030640,,,0
HS,2010,201003,March 2010,4,0,1,Imports,234,Faeroe Isds,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,44751,,,0
HS,2010,201003,March 2010,4,0,1,Imports,352,Iceland,,0,World,,,,,,,,,1006,Rice,0,,,,,,119673,,200475,,,0
HS,2010,201003,March 2010,4,0,2,Exports,484,Mexico,,0,World,,,,,,,,,1006,Rice,0,,,,,,431492,,239824,,,0
HS,2010,201003,March 2010,4,0,1,Imports,470,Malta,,0,World,,,,,,,,,1006,Rice,0,,,,,,,,303400,,,0
HS,2010,201004,April 2010,4,0,1,Imports,480,Mauritius,,0,World,,,,,,,,,1006,Rice,0,,,,,,4464539,,3955891,,,0
