node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Romania,201509,1,1,1,1,7,28849,4121.28571428571,11075,0.9999306759098787,8,98,17,8.634761180359169e-4,1,0.17157612776506845,5.947385620474486e-6,2015-09-01,-6,28850,9
Guatemala,201509,2,5156,2578,5085,2,48188,24094,47644,0.8066886622675465,4,31,2,4.644455402814214e-4,2,0.2865926182794245,0.030664720259166448,2015-09-01,0,53344,9
Slovakia,201509,1,3743,3743,3743,7,29472,4210.28571428571,6962,0.7746199006472979,8,14,10,0.0015391355716086461,1,0.17528134900662404,0.022261064377436,2015-09-01,-6,33215,9
Armenia,201509,0,0,0,0,1,213,213,213,1,1,0,0,5.760568575968635e-5,1,0.0012667931371610655,0,2015-09-01,-1,213,9
Barbados,201509,0,0,0,0,2,1573,786.5,1411,1,2,0,1,3.082102036575673e-5,2,0.009355237581006367,0,2015-09-01,-2,1573,9
Belize,201509,0,0,0,0,1,2370,2370,2370,1,1,0,0,2.3004606067968234e-5,2,0.014095303920524532,0,2015-09-01,-1,2370,9
Cyprus,201509,0,0,0,0,1,3780,3780,3780,1,1,0,0,3.995840136912181e-4,1,0.022481117645393556,0,2015-09-01,-1,3780,9
Serbia,201509,0,0,0,0,1,673,673,673,1,1,0,0,1.820123310622752e-4,1,0.004002590522579329,0,2015-09-01,-1,673,9
TFYR of Macedonia,201509,0,0,0,0,4,236,59,127,1,4,0,4,1.65972060906502e-5,2,0.0014035830064319786,0,2015-09-01,-4,236,9
Rep. of Moldova,201509,0,0,0,0,1,65,65,65,1,1,0,0,1.7579199879716804e-5,1,3.8658006533084157e-4,0,2015-09-01,-1,65,9
Philippines,201509,0,0,0,0,1,5304,5304,5304,1,1,0,0,5.148372598502389e-5,2,0.03154493333099667,0,2015-09-01,-1,5304,9
Panama,201509,0,0,0,0,2,15092,7546,14041,1,2,0,1,4.205322973151957e-4,2,0.08975794378420095,0,2015-09-01,-2,15092,9
Bosnia Herzegovina,201509,0,0,0,0,3,1772,590.666666666667,801,1,3,0,2,2.090070019757352e-4,1,0.010538767319480788,0,2015-09-01,-3,1772,9
Peru,201509,0,0,0,0,2,6626,3313,4214,1,2,0,1,0.0011630853332945431,2,0.039407377121263944,0,2015-09-01,-2,6626,9
Mozambique,201509,0,0,0,0,2,190,95,173,1,2,0,0,1.6894759657874084e-6,3,0.0011300032678901524,0,2015-09-01,-2,190,9
Luxembourg,201509,0,0,0,0,6,20805,3467.5,11954,1,6,0,13,0.004232099603224425,1,0.12373535783397167,0,2015-09-01,-6,20805,9
Bermuda,201509,0,0,0,0,1,19204,19204,19204,1,1,0,0,1.8640525524439585e-4,2,0.11421359345559202,0,2015-09-01,-1,19204,9
Greenland,201509,0,0,0,0,2,678,339,342,1,2,0,1,1.0003171472195888e-4,1,0.004032327450681702,0,2015-09-01,-2,678,9
Kuwait,201509,0,0,0,0,1,4685,4685,4685,1,1,0,0,4.5475349969800116e-5,2,0.027863501631922968,0,2015-09-01,-1,4685,9
Seychelles,201509,0,0,0,0,4,2291,572.75,1076,1,4,0,3,2.3395830872447612e-4,3,0.013625460456507046,0,2015-09-01,-4,2291,9
French Polynesia,201509,0,0,0,0,5,9046,1809.2,7969,1,5,0,6,1.4735473543134246e-4,2,0.053800050322812196,0,2015-09-01,-5,9046,9
Uganda,201509,0,0,0,0,2,2855,1427.5,2097,1,2,0,1,2.775254928959699e-5,3,0.01697978594645466,0,2015-09-01,-2,2855,9
Antigua and Barbuda,201509,0,0,0,0,1,379,379,379,1,1,0,0,3.6787956539090112e-6,2,0.00225405915015983,0,2015-09-01,-1,379,9
Botswana,201509,0,0,0,0,1,1654,1654,1654,1,1,0,0,1.614251823198779e-5,3,0.0098369758162648,0,2015-09-01,-1,1654,9
Brazil,201509,0,0,0,0,1,18549,18549,18549,1,1,0,0,0.005016562747212661,1,0.11031805587418124,0,2015-09-01,-1,18549,9
Kazakhstan,201509,0,0,0,0,4,4063,1015.75,1590,1,4,0,4,1.811406815978775e-4,1,0.024164227775987836,0,2015-09-01,-4,4063,9
Senegal,201509,0,0,0,0,1,46,46,46,1,1,0,0,1.090530264528899e-7,1,2.7357973854182636e-4,0,2015-09-01,-1,46,9
Slovenia,201509,0,0,0,0,6,8907,1484.5,4829,1,6,0,8,5.728544352293899e-4,1,0.05297336372156625,0,2015-09-01,-6,8907,9
Iceland,201509,0,0,0,0,2,731,365.5,595,1,2,0,1,1.6223738674470256e-4,2,0.004347538888566849,0,2015-09-01,-2,731,9
Greece,201509,0,0,0,0,3,9573,3191,6506,1,3,0,1,0.0011878174375701185,1,0.056934322544802254,0,2015-09-01,-3,9573,9
Norway,201509,0,0,0,0,4,165190,41297.5,141823,1,4,0,6,0.0022676266258550696,2,0.9824486306461803,0,2015-09-01,-4,165190,9
El Salvador,201509,0,0,0,0,2,5287,2643.5,5085,1,2,0,1,2.599451588414442e-6,2,0.03144382777544861,0,2015-09-01,-2,5287,9
Georgia,201509,0,0,0,0,1,32,32,32,1,1,0,0,6.254743759712063e-6,1,1.9031633985518354e-4,0,2015-09-01,-1,32,9
Mauritius,201509,0,0,0,0,1,1266,1266,1266,1,1,0,0,2.267544925528251e-4,1,0.007529390195520699,0,2015-09-01,-1,1266,9
Montenegro,201509,0,0,0,0,1,76,76,76,1,1,0,0,1.4855016429308815e-5,1,4.5200130715606095e-4,0,2015-09-01,-1,76,9
Canada,201510,43,8712480,202615.813953488,1979687,5,348628,69725.6,347336,-0.923049587313163,48,777,112,1,1,2.349354320605682,58.7121588948409,2015-10-01,38,9061108,10
