node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Greenland,201508,0,0,0,0,7,3344,477.714285714286,1538,1,3,0,2,4.141064127417261e-5,1,0.006024994926191366,0,2015-08-01,-7,3344,8
Mozambique,201508,0,0,0,0,2,70,35,35,1,1,0,0,1.404050014778676e-9,1,1.2612130527314463e-4,0,2015-08-01,-2,70,8
Ethiopia,201508,0,0,0,0,2,1674,837,837,1,1,0,0,5.1575083293406954e-18,2,0.00301610092896063,0,2015-08-01,-2,1674,8
Luxembourg,201508,0,0,0,0,13,18665,1435.76923076923,6086,1,6,0,11,0.001137291574077203,1,0.03362934518461778,0,2015-08-01,-13,18665,8
Bermuda,201508,0,0,0,0,4,736,184,280,1,2,0,1,6.920089978227459e-7,1,0.0013260754383004922,0,2015-08-01,-4,736,8
Rep. of Moldova,201508,0,0,0,0,2,2202,1101,1101,1,1,0,0,1.7863700543244775e-4,1,0.003967415917306635,0,2015-08-01,-2,2202,8
Kuwait,201508,0,0,0,0,11,21616,1965.09090909091,5220,1,5,0,2,1.5840922312466022e-4,1,0.03894625906834706,0,2015-08-01,-11,21616,8
Botswana,201508,0,0,0,0,3,8503,2834.33333333333,4252,1,1,0,0,1.7055196064627057e-7,1,0.015320135124822127,0,2015-08-01,-3,8503,8
Kazakhstan,201508,0,0,0,0,6,4804,800.666666666667,1914,1,3,0,2,1.0412048357062225e-5,1,0.00865552500760267,0,2015-08-01,-6,4804,8
Japan,201508,0,0,0,0,12,3674862,306238.5,1730110,1,5,0,1,0.2828535829953456,1,6.621119887695412,0,2015-08-01,-12,3674862,8
Yemen,201508,0,0,0,0,2,5e3,2500,2500,1,1,0,0,1.241180166997485e-13,1,0.009008664662367475,0,2015-08-01,-2,5e3,8
Australia,201509,8,40930,5116.25,9288,19,750832,39517.4736842105,296221,0.896610345027925,12,265,14,0.006772572726034554,1,2.39910094606985,0.13078185495908398,2015-09-01,-11,791762,9
Belgium,201509,11,70326,6393.27272727273,20759,12,1011654,84304.5,342400,0.8700049908501082,10,709,15,0.14211060048860744,1,3.2324941777859064,0.22470961963969072,2015-09-01,-1,1081980,9
France,201509,72,3187792,44274.8888888889,524773,28,3574185,127649.464285714,1022756,0.057142016306769454,44,492,115,0.5744510796206773,1,11.420438413558115,10.1858136082025,2015-09-01,44,6761977,9
Germany,201509,59,3747811,63522.2203389831,383332,14,4714324,336737.428571429,1628279,0.1142162113934604,31,67,89,0.74268438408220006,2,15.063475142881229,11.975218045835806,2015-09-01,45,8462135,9
Ireland,201509,3,2700,900,1350,6,29402,4900.33333333333,8267,0.8317861815463211,4,40,3,0.0014375625816192095,1,0.09394693622054696,0.008627192973113285,2015-09-01,-3,32102,9
Italy,201509,15,5417,361.133333333333,1076,22,1263708,57441.2727272727,302230,0.991463409829607,15,617,38,0.12902854534474376,1,4.037871399135942,0.017308705309390618,2015-09-01,-7,1269125,9
Jamaica,201509,3,107308,35769.3333333333,53654,0,0,0,0,-1,1,0,0,0.0015497250711909711,1,0,0.34287660131808906,2015-09-01,3,107308,9
Lithuania,201509,4,3366,841.5,1292,7,11100,1585.71428571429,4408,0.5346329323931979,5,165,0,1.8629392585815642e-4,2,0.035467348889465726,0.01075523390648123,2015-09-01,-3,14466,9
Madagascar,201509,66,14708079,222849.681818182,1628279,0,0,0,0,-1,26,0,52,0.9999999999999999,3,0,46.996087332146324,2015-09-01,66,14708079,9
Malta,201509,2,136,68,68,2,2580,1290,1290,0.8998527245949927,2,35,1,9.655347639092472e-6,1,0.00824376217430825,4.345549053123729e-4,2015-09-01,0,2716,9
Netherlands,201509,16,108350,6771.875,25966,12,1485830,123819.166666667,683146,0.8640680475228644,14,82,31,0.2306318352752426,1,4.7476081982373755,0.34620605875437943,2015-09-01,4,1594180,9
Poland,201509,7,2080,297.142857142857,486,16,382330,23895.625,123216,0.9891782211701048,10,118,19,0.049923890827968664,1,1.2216424775594084,0.006646133845953938,2015-09-01,-9,384410,9
India,201509,20,76450,3822.5,13700,6,746254,124375.666666667,327112,0.8141494389233552,12,1,23,0.10890726613307011,1,2.3844730610954374,0.2442773714053743,2015-09-01,14,822704,9
Spain,201509,12,561305,46775.4166666667,268414,5,231377,46275.4,94930,-0.4162173481925917,7,76,8,0.02688332449906209,1,0.7393088994592714,1.7935135376938343,2015-09-01,7,792682,9
Turkey,201509,5,51182,10236.4,21196,0,0,0,0,-1,2,0,0,6.122527153019537e-4,1,0,0.1635396262036608,2015-09-01,5,51182,9
Uganda,201509,18,708206,39344.7777777778,150350,0,0,0,0,-1,9,0,14,0.04270309864296796,1,0,2.262899935820988,2015-09-01,18,708206,9
United States of America,201509,37,418821,11319.4864864865,74449,0,0,0,0,-1,16,0,22,0.018235086174743547,1,0,1.3382405882193626,2015-09-01,37,418821,9
Indonesia,201509,21,403877,19232.2380952381,223917,0,0,0,0,-1,10,0,12,0.021991902375974804,1,0,1.290490672741509,2015-09-01,21,403877,9
Vanuatu,201509,2,7676,3838,3838,0,0,0,0,-1,1,0,0,8.498816567059152e-6,1,0,0.0245267900968954,2015-09-01,2,7676,9
New Zealand,201509,4,22884,5721,6158,10,110159,11015.9,37425,0.6559909202287982,7,100,3,1.2091131210480377e-4,1,0.35198627804636534,0.07312025333212016,2015-09-01,-6,133043,9
Papua New Guinea,201509,13,818114,62931.8461538462,296221,0,0,0,0,-1,6,0,8,0.019462333374740886,1,0,2.6140842044465193,2015-09-01,13,818114,9
