"","period","trade_value_usd","origin","destin","period_date"
"295",201507,106953,"Germany","Sweden",2015-07-01
"296",201507,1289,"Jordan","Sweden",2015-07-01
"297",201507,1347402,"Netherlands","Sweden",2015-07-01
"298",201507,1991,"Poland","Sweden",2015-07-01
"299",201507,68413,"Spain","Sweden",2015-07-01
"300",201507,2811,"Turkey","Sweden",2015-07-01
"301",201507,136591,"United Kingdom","Sweden",2015-07-01
"302",201409,782,"Azerbaijan","Kazakhstan",2014-09-01
"303",201409,8758,"China","Kazakhstan",2014-09-01
"304",201409,1048,"Iran","Kazakhstan",2014-09-01
"305",201409,6558,"Kyrgyzstan","Kazakhstan",2014-09-01
"306",201409,178,"Netherlands","Kazakhstan",2014-09-01
"307",201409,712,"Russian Federation","Kazakhstan",2014-09-01
"308",201409,1126,"Turkmenistan","Kazakhstan",2014-09-01
"309",201409,283048,"Uzbekistan","Kazakhstan",2014-09-01
"310",201507,13927548,"Netherlands","United Kingdom",2015-07-01
"311",201507,10974,"Belgium","United Kingdom",2015-07-01
"312",201507,8511,"Denmark","United Kingdom",2015-07-01
"313",201507,14075,"France","United Kingdom",2015-07-01
"314",201507,10680,"Germany","United Kingdom",2015-07-01
"315",201507,17737,"Ireland","United Kingdom",2015-07-01
"316",201507,1511,"Italy","United Kingdom",2015-07-01
"317",201507,23259,"Jordan","United Kingdom",2015-07-01
"318",201507,2814,"Lebanon","United Kingdom",2015-07-01
"319",201507,25469,"Lithuania","United Kingdom",2015-07-01
"320",201507,74290,"Poland","United Kingdom",2015-07-01
"321",201507,1158652,"Spain","United Kingdom",2015-07-01
"322",201507,50531,"Turkey","United Kingdom",2015-07-01
"323",201409,443,"South Africa","Zambia",2014-09-01
"324",201409,14443,"Australia","China, Hong Kong SAR",2014-09-01
"325",201409,222784,"China","China, Hong Kong SAR",2014-09-01
"326",201409,100,"Germany","China, Hong Kong SAR",2014-09-01
"327",201409,73986,"Japan","China, Hong Kong SAR",2014-09-01
"328",201409,75,"Rep. of Korea","China, Hong Kong SAR",2014-09-01
"329",201409,1004,"Malaysia","China, Hong Kong SAR",2014-09-01
