"","period","trade_value_usd","origin","destin","period_date"
"4258",201512,7600,"Turkey","Armenia",2015-12-01
"4259",201411,82,"Guyana","Barbados",2014-11-01
"4260",201411,56886,"Albania","TFYR of Macedonia",2014-11-01
"4261",201411,120059,"Greece","TFYR of Macedonia",2014-11-01
"4262",201411,1493,"Serbia","TFYR of Macedonia",2014-11-01
"4263",201411,595,"Italy","Norway",2014-11-01
"4264",201411,33940,"Netherlands","Norway",2014-11-01
"4265",201411,277,"Poland","Norway",2014-11-01
"4266",201411,2314887,"Spain","Norway",2014-11-01
"4267",201411,12168,"Turkey","Norway",2014-11-01
"4268",201411,4075,"Sweden","Norway",2014-11-01
"4269",201411,6745,"Algeria","Switzerland",2014-11-01
"4270",201411,29,"Bangladesh","Switzerland",2014-11-01
"4271",201411,291,"Dominican Rep.","Switzerland",2014-11-01
"4272",201411,2311,"France","Switzerland",2014-11-01
"4273",201411,444,"Iran","Switzerland",2014-11-01
"4274",201411,23344,"Italy","Switzerland",2014-11-01
"4275",201411,38270,"Morocco","Switzerland",2014-11-01
"4276",201411,29326,"Netherlands","Switzerland",2014-11-01
"4277",201411,57,"Portugal","Switzerland",2014-11-01
"4278",201411,433,"India","Switzerland",2014-11-01
"4279",201411,2121064,"Spain","Switzerland",2014-11-01
"4280",201411,34,"Sweden","Switzerland",2014-11-01
"4281",201411,18992,"Turkey","Switzerland",2014-11-01
"4282",201411,48735,"TFYR of Macedonia","Switzerland",2014-11-01
"4283",201512,80,"Saint Vincent and the Grenadines","Barbados",2015-12-01
"4284",201512,292,"United Kingdom","Barbados",2015-12-01
"4285",201512,215,"United States of America","Barbados",2015-12-01
"4286",201411,43,"Finland","Denmark",2014-11-01
"4287",201411,10689,"France","Denmark",2014-11-01
"4288",201411,227986,"Germany","Denmark",2014-11-01
"4289",201411,2579,"Greece","Denmark",2014-11-01
"4290",201411,18,"Hungary","Denmark",2014-11-01
"4291",201411,24,"Ireland","Denmark",2014-11-01
"4292",201411,1560,"Italy","Denmark",2014-11-01
"4293",201411,8475,"Jordan","Denmark",2014-11-01
"4294",201411,4,"Luxembourg","Denmark",2014-11-01
"4295",201411,285966,"Netherlands","Denmark",2014-11-01
"4296",201411,2973,"Poland","Denmark",2014-11-01
"4297",201411,551,"Austria","Denmark",2014-11-01
"4298",201411,904,"Portugal","Denmark",2014-11-01
"4299",201411,1957284,"Spain","Denmark",2014-11-01
"4300",201411,10292,"Sweden","Denmark",2014-11-01
"4301",201411,21997,"Turkey","Denmark",2014-11-01
"4302",201411,4157,"United Kingdom","Denmark",2014-11-01
"4303",201411,1005,"Belgium","Denmark",2014-11-01
"4304",201411,49,"Czech Rep.","Denmark",2014-11-01
"4305",201411,24,"Estonia","Denmark",2014-11-01
"4306",201411,4354,"Canada","Canada",2014-11-01
"4307",201411,85659,"Dominican Rep.","Canada",2014-11-01
"4308",201411,418,"Guatemala","Canada",2014-11-01
"4309",201411,1327,"Israel","Canada",2014-11-01
"4310",201411,135047,"Jordan","Canada",2014-11-01
"4311",201411,8194277,"Mexico","Canada",2014-11-01
"4312",201411,216668,"Netherlands","Canada",2014-11-01
"4313",201411,647,"India","Canada",2014-11-01
"4314",201411,1331612,"Spain","Canada",2014-11-01
"4315",201411,56080,"Egypt","Canada",2014-11-01
"4316",201411,1136638,"United States of America","Canada",2014-11-01
"4317",201411,11044,"Albania","Czech Rep.",2014-11-01
"4318",201411,2155,"Belgium","Czech Rep.",2014-11-01
"4319",201411,11691,"Croatia","Czech Rep.",2014-11-01
"4320",201411,758,"France","Czech Rep.",2014-11-01
"4321",201411,485711,"Germany","Czech Rep.",2014-11-01
"4322",201411,90348,"Greece","Czech Rep.",2014-11-01
"4323",201411,3978,"Italy","Czech Rep.",2014-11-01
"4324",201411,247247,"Netherlands","Czech Rep.",2014-11-01
"4325",201411,113339,"Poland","Czech Rep.",2014-11-01
"4326",201411,39600,"Romania","Czech Rep.",2014-11-01
"4327",201411,2808,"Slovakia","Czech Rep.",2014-11-01
"4328",201411,1858782,"Spain","Czech Rep.",2014-11-01
"4329",201411,12908,"TFYR of Macedonia","Czech Rep.",2014-11-01
"4330",201411,2154,"United Kingdom","Czech Rep.",2014-11-01
"4331",201411,415766,"Turkey","Georgia",2014-11-01
"4332",201411,941,"Netherlands","Iceland",2014-11-01
"4333",201411,74,"Spain","Iceland",2014-11-01
"4334",201411,12063,"Albania","Greece",2014-11-01
"4335",201411,2884,"Austria","Greece",2014-11-01
"4336",201411,9445,"Bulgaria","Greece",2014-11-01
"4337",201411,11,"Netherlands","Greece",2014-11-01
"4338",201411,301,"Romania","Greece",2014-11-01
"4339",201411,3510525,"Azerbaijan","Russian Federation",2014-11-01
"4340",201411,67485,"Armenia","Russian Federation",2014-11-01
"4341",201411,47118,"Bulgaria","Russian Federation",2014-11-01
"4342",201411,47786,"Kazakhstan","Russian Federation",2014-11-01
"4343",201411,43137,"Lithuania","Russian Federation",2014-11-01
"4344",201411,78653,"Morocco","Russian Federation",2014-11-01
"4345",201411,10831,"Serbia","Russian Federation",2014-11-01
"4346",201411,15459384,"Turkey","Russian Federation",2014-11-01
"4347",201411,481675,"TFYR of Macedonia","Russian Federation",2014-11-01
"4348",201411,2776,"Albania","Russian Federation",2014-11-01
"4349",201411,533625,"Belarus","Russian Federation",2014-11-01
"4350",201411,3948608,"China","Russian Federation",2014-11-01
"4351",201411,9692665,"Iran","Russian Federation",2014-11-01
"4352",201411,84,"India","South Africa",2014-11-01
"4353",201509,285528,"Belgium","France",2015-09-01
"4354",201509,484,"Czech Rep.","France",2015-09-01
"4355",201509,5673,"Dominican Rep.","France",2015-09-01
"4356",201509,122383,"Germany","France",2015-09-01
"4357",201509,205,"Hungary","France",2015-09-01
"4358",201509,54249,"Italy","France",2015-09-01
"4359",201509,20549,"Jordan","France",2015-09-01
"4360",201509,16659,"TFYR of Macedonia","France",2015-09-01
"4361",201509,24672,"United Kingdom","France",2015-09-01
"4362",201509,91248,"France","France",2015-09-01
"4363",201509,232,"Lebanon","France",2015-09-01
"4364",201509,1795623,"Netherlands","France",2015-09-01
"4365",201509,816,"Portugal","France",2015-09-01
"4366",201509,1440968,"Spain","France",2015-09-01
"4367",201509,32391,"Turkey","France",2015-09-01
"4368",201509,2712,"Denmark","Norway",2015-09-01
"4369",201509,199,"Lithuania","Norway",2015-09-01
"4370",201509,750790,"Netherlands","Norway",2015-09-01
"4371",201509,160,"Poland","Norway",2015-09-01
"4372",201509,91097,"Spain","Norway",2015-09-01
"4373",201509,3040,"Sweden","Norway",2015-09-01
"4374",201509,12194,"Turkey","Norway",2015-09-01
"4375",201411,63631,"Morocco","Portugal",2014-11-01
"4376",201411,151452,"Spain","Portugal",2014-11-01
"4377",201411,60423,"TFYR of Macedonia","Croatia",2014-11-01
"4378",201512,31285,"Guatemala","El Salvador",2015-12-01
"4379",201512,21764,"Honduras","El Salvador",2015-12-01
"4380",201512,41468,"Albania","Montenegro",2015-12-01
"4381",201512,311,"Greece","Montenegro",2015-12-01
"4382",201512,1203,"Italy","Montenegro",2015-12-01
"4383",201512,23,"Serbia","Montenegro",2015-12-01
"4384",201512,4822,"Sweden","Norway",2015-12-01
"4385",201411,12775,"Albania","Croatia",2014-11-01
"4386",201411,2425,"Austria","Croatia",2014-11-01
"4387",201411,34717,"Germany","Croatia",2014-11-01
"4388",201411,72212,"Italy","Croatia",2014-11-01
"4389",201411,1150,"Netherlands","Croatia",2014-11-01
"4390",201411,5545,"Slovenia","Croatia",2014-11-01
"4391",201411,87824,"Spain","Croatia",2014-11-01
"4392",201411,10621,"Albania","Bosnia Herzegovina",2014-11-01
"4393",201411,5927,"Italy","Bosnia Herzegovina",2014-11-01
"4394",201411,459,"Serbia","Bosnia Herzegovina",2014-11-01
"4395",201411,3269,"Spain","Bosnia Herzegovina",2014-11-01
"4396",201411,13130,"Turkey","Bosnia Herzegovina",2014-11-01
"4397",201411,6099,"TFYR of Macedonia","Bosnia Herzegovina",2014-11-01
"4398",201512,48716,"Netherlands","Norway",2015-12-01
"4399",201512,188,"Poland","Norway",2015-12-01
"4400",201512,1798887,"Spain","Norway",2015-12-01
"4401",201512,21115,"Turkey","Norway",2015-12-01
"4402",201411,30504,"Albania","Poland",2014-11-01
"4403",201411,148,"Ecuador","Poland",2014-11-01
"4404",201411,2560,"France","Poland",2014-11-01
"4405",201411,645586,"Germany","Poland",2014-11-01
"4406",201411,43028,"Italy","Poland",2014-11-01
"4407",201411,233391,"Netherlands","Poland",2014-11-01
"4408",201411,3285265,"Spain","Poland",2014-11-01
"4409",201411,275966,"Turkey","Poland",2014-11-01
"4410",201411,453,"Dominica","Antigua and Barbuda",2014-11-01
"4411",201411,41,"Mexico","Antigua and Barbuda",2014-11-01
"4412",201411,2421,"United States of America","Antigua and Barbuda",2014-11-01
"4413",201411,154200,"Serbia","Belarus",2014-11-01
"4414",201411,183900,"Spain","Belarus",2014-11-01
"4415",201411,2180500,"Turkey","Belarus",2014-11-01
"4416",201411,55000,"Ukraine","Belarus",2014-11-01
"4417",201411,150700,"TFYR of Macedonia","Belarus",2014-11-01
"4418",201411,1800,"United Kingdom","Belarus",2014-11-01
"4419",201411,489,"Morocco","Poland",2014-11-01
"4420",201411,106000,"Albania","Belarus",2014-11-01
"4421",201411,54900,"Israel","Belarus",2014-11-01
"4422",201411,3400,"Mexico","Belarus",2014-11-01
"4423",201411,289100,"Morocco","Belarus",2014-11-01
"4424",201411,2000,"Netherlands","Belarus",2014-11-01
"4425",201411,34500,"Poland","Belarus",2014-11-01
"4426",201411,54500,"Russian Federation","Belarus",2014-11-01
"4427",201411,15367,"Estonia","Latvia",2014-11-01
"4428",201411,2347,"France","Latvia",2014-11-01
"4429",201411,3352,"Germany","Latvia",2014-11-01
"4430",201411,33305,"Lithuania","Latvia",2014-11-01
"4431",201411,42124,"Netherlands","Latvia",2014-11-01
"4432",201411,970,"Poland","Latvia",2014-11-01
"4433",201411,525498,"Spain","Latvia",2014-11-01
"4434",201411,100,"Uzbekistan","Latvia",2014-11-01
"4435",201411,28394,"Estonia","Lithuania",2014-11-01
"4436",201411,56602,"France","Lithuania",2014-11-01
"4437",201411,17198,"Greece","Lithuania",2014-11-01
"4438",201411,83031,"Latvia","Lithuania",2014-11-01
"4439",201411,270922,"Netherlands","Lithuania",2014-11-01
"4440",201411,69220,"Poland","Lithuania",2014-11-01
"4441",201411,18869,"Portugal","Lithuania",2014-11-01
"4442",201411,1221133,"Spain","Lithuania",2014-11-01
"4443",201411,15141,"Turkey","Lithuania",2014-11-01
"4444",201411,5018,"United Kingdom","Lithuania",2014-11-01
"4445",201411,51205,"Czech Rep.","Lithuania",2014-11-01
"4446",201411,56146,"Belgium","Luxembourg",2014-11-01
"4447",201411,12137,"France","Luxembourg",2014-11-01
"4448",201411,11389,"Germany","Luxembourg",2014-11-01
"4449",201411,409,"Italy","Luxembourg",2014-11-01
"4450",201411,1452,"Morocco","Luxembourg",2014-11-01
"4451",201411,9234,"Netherlands","Luxembourg",2014-11-01
"4452",201411,280,"Portugal","Luxembourg",2014-11-01
"4453",201411,43420,"Spain","Luxembourg",2014-11-01
"4454",201411,150,"Egypt","Luxembourg",2014-11-01
"4455",201411,16161,"Guatemala","El Salvador",2014-11-01
"4456",201411,9546,"Honduras","El Salvador",2014-11-01
"4457",201411,319,"Dominican Rep.","Finland",2014-11-01
"4458",201411,196451,"Germany","Finland",2014-11-01
"4459",201411,281088,"Netherlands","Finland",2014-11-01
"4460",201411,825145,"Spain","Finland",2014-11-01
"4461",201411,1295,"Turkey","Finland",2014-11-01
"4462",201512,5500,"Bosnia Herzegovina","Georgia",2015-12-01
"4463",201512,38,"Netherlands","Georgia",2015-12-01
"4464",201512,612684,"Turkey","Georgia",2015-12-01
"4465",201411,28824,"United States of America","Bermuda",2014-11-01
"4466",201411,26330,"Albania","Montenegro",2014-11-01
"4467",201411,632,"Italy","Montenegro",2014-11-01
"4468",201411,1914,"Serbia","Montenegro",2014-11-01
"4469",201411,1035,"Turkey","Montenegro",2014-11-01
"4470",201411,231,"TFYR of Macedonia","Montenegro",2014-11-01
"4471",201512,291,"Netherlands","Iceland",2015-12-01
"4472",201411,10175,"Albania","Ukraine",2014-11-01
"4473",201411,23747,"Spain","Ukraine",2014-11-01
"4474",201411,2977389,"Turkey","Ukraine",2014-11-01
"4475",201411,17049,"Dominican Rep.","France",2014-11-01
"4476",201411,46839,"France","France",2014-11-01
"4477",201411,363046,"Germany","France",2014-11-01
"4478",201411,313,"Hungary","France",2014-11-01
"4479",201411,55436,"Belgium","France",2014-11-01
"4480",201411,4440,"Israel","France",2014-11-01
"4481",201411,11185,"Italy","France",2014-11-01
"4482",201411,47366,"Jordan","France",2014-11-01
"4483",201411,393,"Lebanon","France",2014-11-01
"4484",201411,358156,"Morocco","France",2014-11-01
"4485",201411,151717,"Netherlands","France",2014-11-01
"4486",201411,678,"Poland","France",2014-11-01
"4487",201411,289,"Portugal","France",2014-11-01
"4488",201411,5653504,"Spain","France",2014-11-01
"4489",201411,30948,"Turkey","France",2014-11-01
"4490",201411,4192,"United Kingdom","France",2014-11-01
"4491",201411,397969,"Turkey","Austria",2014-11-01
"4492",201411,523861,"Germany","Austria",2014-11-01
"4493",201411,147107,"Greece","Austria",2014-11-01
"4494",201411,607636,"Italy","Austria",2014-11-01
"4495",201411,118010,"Netherlands","Austria",2014-11-01
"4496",201411,63058,"France","Austria",2014-11-01
"4497",201411,1172,"Hungary","Austria",2014-11-01
"4498",201411,1102837,"Spain","Austria",2014-11-01
"4499",201411,32490,"TFYR of Macedonia","Austria",2014-11-01
"4500",201411,101485,"France","Belgium",2014-11-01
"4501",201411,659457,"Germany","Belgium",2014-11-01
"4502",201411,698,"Italy","Belgium",2014-11-01
"4503",201411,437,"Luxembourg","Belgium",2014-11-01
"4504",201411,527191,"Netherlands","Belgium",2014-11-01
"4505",201411,981696,"Spain","Belgium",2014-11-01
"4506",201411,9691,"Turkey","Belgium",2014-11-01
"4507",201512,26423,"Turkey","Denmark",2015-12-01
"4508",201512,1304,"Egypt","Denmark",2015-12-01
"4509",201512,36,"United Kingdom","Denmark",2015-12-01
"4510",201512,196,"Austria","Denmark",2015-12-01
"4511",201512,236,"Belgium","Denmark",2015-12-01
"4512",201512,100,"Czech Rep.","Denmark",2015-12-01
"4513",201512,52,"Estonia","Denmark",2015-12-01
"4514",201512,14,"Finland","Denmark",2015-12-01
"4515",201512,4366,"France","Denmark",2015-12-01
"4516",201512,189944,"Germany","Denmark",2015-12-01
"4517",201512,2075,"Greece","Denmark",2015-12-01
"4518",201512,92,"Hungary","Denmark",2015-12-01
"4519",201512,1485,"Italy","Denmark",2015-12-01
"4520",201512,10576,"Jordan","Denmark",2015-12-01
"4521",201512,168,"Lithuania","Denmark",2015-12-01
"4522",201512,545472,"Netherlands","Denmark",2015-12-01
"4523",201512,6094,"Poland","Denmark",2015-12-01
"4524",201512,1169,"Portugal","Denmark",2015-12-01
"4525",201512,487,"Romania","Denmark",2015-12-01
"4526",201512,48,"Slovakia","Denmark",2015-12-01
"4527",201512,2655765,"Spain","Denmark",2015-12-01
"4528",201512,22850,"Sweden","Denmark",2015-12-01
"4529",201411,178163,"Albania","Bulgaria",2014-11-01
"4530",201411,26478,"Czech Rep.","Bulgaria",2014-11-01
"4531",201411,200849,"Greece","Bulgaria",2014-11-01
"4532",201411,1260,"Netherlands","Bulgaria",2014-11-01
"4533",201411,88526,"Spain","Bulgaria",2014-11-01
"4534",201411,417126,"Turkey","Bulgaria",2014-11-01
"4535",201411,40846,"TFYR of Macedonia","Bulgaria",2014-11-01
"4536",201411,39736,"Poland","Germany",2014-11-01
"4537",201411,37728,"Austria","Germany",2014-11-01
"4538",201411,255140,"Belgium","Germany",2014-11-01
"4539",201411,3555,"Denmark","Germany",2014-11-01
"4540",201411,309780,"France","Germany",2014-11-01
"4541",201411,726594,"Greece","Germany",2014-11-01
"4542",201411,45174,"Italy","Germany",2014-11-01
"4543",201411,28386,"Jordan","Germany",2014-11-01
"4544",201411,7987468,"Netherlands","Germany",2014-11-01
"4545",201411,18795,"Romania","Germany",2014-11-01
"4546",201411,26991341,"Spain","Germany",2014-11-01
"4547",201411,107421,"Turkey","Germany",2014-11-01
"4548",201411,14168,"TFYR of Macedonia","Germany",2014-11-01
"4549",201411,10090,"Egypt","Germany",2014-11-01
"4550",201411,35616,"Austria","Italy",2014-11-01
"4551",201411,5609,"Croatia","Italy",2014-11-01
"4552",201411,8778,"France","Italy",2014-11-01
"4553",201411,117560,"Germany","Italy",2014-11-01
"4554",201411,9916,"Netherlands","Italy",2014-11-01
"4555",201411,282,"Slovenia","Italy",2014-11-01
"4556",201411,782743,"Spain","Italy",2014-11-01
"4557",201411,15715,"Italy","Malta",2014-11-01
"4558",201411,6810,"Slovenia","Netherlands",2014-11-01
"4559",201411,761,"Suriname","Netherlands",2014-11-01
"4560",201411,7284,"Turkey","Netherlands",2014-11-01
"4561",201411,5712,"United Kingdom","Netherlands",2014-11-01
"4562",201411,1185,"Netherlands","Malta",2014-11-01
"4563",201411,237,"Spain","Malta",2014-11-01
"4564",201411,135471,"Belgium","Netherlands",2014-11-01
"4565",201411,6124,"France","Netherlands",2014-11-01
"4566",201411,1037857,"Germany","Netherlands",2014-11-01
"4567",201411,14455,"Israel","Netherlands",2014-11-01
"4568",201411,9473843,"Spain","Netherlands",2014-11-01
"4569",201411,30491,"Italy","Romania",2014-11-01
"4570",201411,28930,"Netherlands","Romania",2014-11-01
"4571",201411,7127,"Poland","Romania",2014-11-01
"4572",201411,307196,"Spain","Romania",2014-11-01
"4573",201411,385756,"Turkey","Romania",2014-11-01
"4574",201411,47056,"TFYR of Macedonia","Romania",2014-11-01
"4575",201411,20319,"Albania","Romania",2014-11-01
"4576",201411,1164,"Austria","Romania",2014-11-01
"4577",201411,66277,"Bulgaria","Romania",2014-11-01
"4578",201411,63170,"France","Romania",2014-11-01
"4579",201411,154,"Germany","Romania",2014-11-01
"4580",201411,155891,"Greece","Romania",2014-11-01
"4581",201411,6399,"Hungary","Romania",2014-11-01
"4582",201411,401885,"Spain","Slovakia",2014-11-01
"4583",201411,4428,"Albania","Slovakia",2014-11-01
"4584",201411,33881,"Austria","Slovakia",2014-11-01
"4585",201411,328,"Bulgaria","Slovakia",2014-11-01
"4586",201411,14686,"Czech Rep.","Slovakia",2014-11-01
"4587",201411,230403,"Germany","Slovakia",2014-11-01
"4588",201411,27100,"Greece","Slovakia",2014-11-01
"4589",201411,7297,"Italy","Slovakia",2014-11-01
"4590",201411,31250,"Netherlands","Slovakia",2014-11-01
"4591",201411,2155,"Poland","Slovakia",2014-11-01
"4592",201411,13949,"Romania","Slovakia",2014-11-01
"4593",201512,1842,"Latvia","Estonia",2015-12-01
"4594",201512,842,"Netherlands","Estonia",2015-12-01
"4595",201512,239286,"Spain","Estonia",2015-12-01
"4596",201411,39362,"Austria","Slovenia",2014-11-01
"4597",201411,13308,"Croatia","Slovenia",2014-11-01
"4598",201411,5587,"France","Slovenia",2014-11-01
"4599",201411,10402,"Germany","Slovenia",2014-11-01
"4600",201411,27763,"Israel","Slovenia",2014-11-01
"4601",201411,96109,"Italy","Slovenia",2014-11-01
"4602",201411,6161,"Netherlands","Slovenia",2014-11-01
"4603",201411,3243,"Serbia","Slovenia",2014-11-01
"4604",201411,30332,"Spain","Slovenia",2014-11-01
"4605",201411,14118,"TFYR of Macedonia","Slovenia",2014-11-01
"4606",201411,70043,"Austria","Spain",2014-11-01
"4607",201411,16663,"Belgium","Spain",2014-11-01
"4608",201411,5188,"Czech Rep.","Spain",2014-11-01
"4609",201411,3567,"France","Spain",2014-11-01
"4610",201411,18084,"Germany","Spain",2014-11-01
"4611",201411,3941,"Greece","Spain",2014-11-01
"4612",201411,48641,"Italy","Spain",2014-11-01
"4613",201411,75,"Lithuania","Spain",2014-11-01
"4614",201411,1952604,"Morocco","Spain",2014-11-01
"4615",201411,5263,"Netherlands","Spain",2014-11-01
"4616",201411,20292,"Poland","Spain",2014-11-01
"4617",201411,711,"Portugal","Spain",2014-11-01
"4618",201411,1235,"Romania","Spain",2014-11-01
"4619",201411,77464,"United Kingdom","Spain",2014-11-01
"4620",201411,103587,"Albania","Serbia",2014-11-01
"4621",201411,16652,"Greece","Serbia",2014-11-01
"4622",201411,7634,"Italy","Serbia",2014-11-01
"4623",201411,36814,"Spain","Serbia",2014-11-01
"4624",201411,27127,"TFYR of Macedonia","Serbia",2014-11-01
"4625",201411,8857,"Afghanistan","Pakistan",2014-11-01
"4626",201411,31,"Japan","Pakistan",2014-11-01
"4627",201411,392,"United States of America","Panama",2014-11-01
"4628",201411,4530,"South Africa","Mozambique",2014-11-01
"4629",201411,71551,"Denmark","Sweden",2014-11-01
"4630",201411,319820,"Germany","Sweden",2014-11-01
"4631",201411,30240,"Italy","Sweden",2014-11-01
"4632",201411,49141,"Jordan","Sweden",2014-11-01
"4633",201411,607644,"Netherlands","Sweden",2014-11-01
"4634",201411,4088266,"Spain","Sweden",2014-11-01
"4635",201411,15525,"Turkey","Sweden",2014-11-01
"4636",201512,427,"Bulgaria","Greece",2015-12-01
"4637",201512,4647,"TFYR of Macedonia","Greece",2015-12-01
"4638",201512,3029,"Netherlands","Greece",2015-12-01
"4639",201411,367,"Australia","Fiji",2014-11-01
"4640",201411,314,"New Zealand","Fiji",2014-11-01
"4641",201411,1729,"Azerbaijan","Kazakhstan",2014-11-01
"4642",201411,472,"Belarus","Kazakhstan",2014-11-01
"4643",201411,36008,"China","Kazakhstan",2014-11-01
"4644",201411,6215,"Iran","Kazakhstan",2014-11-01
"4645",201411,3525,"Kyrgyzstan","Kazakhstan",2014-11-01
"4646",201411,46,"Netherlands","Kazakhstan",2014-11-01
"4647",201411,4282,"Russian Federation","Kazakhstan",2014-11-01
"4648",201411,407983,"Uzbekistan","Kazakhstan",2014-11-01
"4649",201411,136,"Japan","Thailand",2014-11-01
"4650",201411,16530,"Belgium","United Kingdom",2014-11-01
"4651",201411,81215,"France","United Kingdom",2014-11-01
"4652",201411,1144380,"Germany","United Kingdom",2014-11-01
"4653",201411,14803,"Ireland","United Kingdom",2014-11-01
"4654",201411,1907,"Italy","United Kingdom",2014-11-01
"4655",201411,132571,"Jordan","United Kingdom",2014-11-01
"4656",201411,46139,"Morocco","United Kingdom",2014-11-01
"4657",201411,2647628,"Netherlands","United Kingdom",2014-11-01
"4658",201411,10886,"Poland","United Kingdom",2014-11-01
"4659",201411,9998855,"Spain","United Kingdom",2014-11-01
"4660",201411,68171,"Turkey","United Kingdom",2014-11-01
"4661",201411,8965,"Australia","China, Hong Kong SAR",2014-11-01
"4662",201411,206,"South Africa","Zambia",2014-11-01
"4663",201411,250,"New Zealand","Samoa",2014-11-01
"4664",201411,202303,"China","China, Hong Kong SAR",2014-11-01
"4665",201411,25706,"Japan","China, Hong Kong SAR",2014-11-01
"4666",201411,988,"Malaysia","China, Hong Kong SAR",2014-11-01
"4667",201411,322,"United States of America","China, Hong Kong SAR",2014-11-01
"4668",201411,189,"Romania","Rep. of Moldova",2014-11-01
"4669",201411,278991,"Turkey","Rep. of Moldova",2014-11-01
"4670",201411,30846,"United States of America","Aruba",2014-11-01
"4671",201411,4458,"Venezuela","Aruba",2014-11-01
"4672",201411,5850,"Australia","Singapore",2014-11-01
"4673",201411,27,"Germany","Singapore",2014-11-01
"4674",201411,3692,"Japan","Singapore",2014-11-01
"4675",201411,859193,"Malaysia","Singapore",2014-11-01
"4676",201411,1314,"Netherlands","Singapore",2014-11-01
"4677",201411,24457,"India","Singapore",2014-11-01
"4678",201411,259,"Viet Nam","Singapore",2014-11-01
"4679",201411,57722,"Thailand","Singapore",2014-11-01
"4680",201411,57,"Turkey","Singapore",2014-11-01
"4681",201411,580,"United States of America","Singapore",2014-11-01
"4682",201411,15,"France","China, Hong Kong SAR",2014-11-01
"4683",201411,2049,"Rep. of Korea","China, Hong Kong SAR",2014-11-01
"4684",201411,1979,"Netherlands","China, Hong Kong SAR",2014-11-01
"4685",201411,710,"New Zealand","China, Hong Kong SAR",2014-11-01
"4686",201411,832,"Thailand","China, Hong Kong SAR",2014-11-01
"4687",201512,24165,"Estonia","Latvia",2015-12-01
"4688",201512,206,"Germany","Latvia",2015-12-01
"4689",201512,23083,"Lithuania","Latvia",2015-12-01
"4690",201512,36630,"Netherlands","Latvia",2015-12-01
"4691",201512,687,"Poland","Latvia",2015-12-01
"4692",201512,461549,"Spain","Latvia",2015-12-01
"4693",201512,31048,"Turkey","Latvia",2015-12-01
"4694",201411,1075,"China","Malaysia",2014-11-01
"4695",201411,2813,"Australia","Malaysia",2014-11-01
"4696",201411,1694,"Bangladesh","Malaysia",2014-11-01
"4697",201512,41498,"Albania","TFYR of Macedonia",2015-12-01
"4698",201512,105706,"Greece","TFYR of Macedonia",2015-12-01
"4699",201512,14054,"Turkey","TFYR of Macedonia",2015-12-01
"4700",201411,69,"Rep. of Korea","Malaysia",2014-11-01
"4701",201411,85,"Malaysia","Malaysia",2014-11-01
"4702",201411,551,"Netherlands","Malaysia",2014-11-01
"4703",201411,1143,"India","Malaysia",2014-11-01
"4704",201411,424,"Singapore","Malaysia",2014-11-01
"4705",201411,199372,"Thailand","Malaysia",2014-11-01
"4706",201411,261,"United States of America","Malaysia",2014-11-01
"4707",201411,11736,"Greece","Cyprus",2014-11-01
"4708",201411,131,"Italy","Cyprus",2014-11-01
"4709",201411,205,"Dominica","Montserrat",2014-11-01
"4710",201411,42,"United States of America","Montserrat",2014-11-01
"4711",201411,5929,"United States of America","Japan",2014-11-01
"4712",201411,808,"Belgium","Italy",2014-11-01
"4713",201411,43,"Uganda","Rwanda",2014-11-01
"4714",201411,27,"Portugal","Cabo Verde",2014-11-01
"4715",201411,1141,"Spain","Cabo Verde",2014-11-01
"4716",201511,77282,"Iran","Azerbaijan",2015-11-01
"4717",201511,18990,"Guatemala","El Salvador",2015-11-01
"4718",201511,4215,"Honduras","El Salvador",2015-11-01
"4719",201511,528,"Brazil","Paraguay",2015-11-01
"4720",201511,56970,"Germany","Greece",2015-11-01
"4721",201511,231,"Austria","Denmark",2015-11-01
"4722",201511,278,"Belgium","Denmark",2015-11-01
"4723",201511,118,"Czech Rep.","Denmark",2015-11-01
"4724",201511,67,"Estonia","Denmark",2015-11-01
"4725",201511,16,"Finland","Denmark",2015-11-01
"4726",201511,1785,"France","Denmark",2015-11-01
"4727",201511,213058,"Germany","Denmark",2015-11-01
"4728",201511,2294,"Greece","Denmark",2015-11-01
"4729",201511,51,"Hungary","Denmark",2015-11-01
"4730",201511,1420,"Italy","Denmark",2015-11-01
"4731",201511,7536,"Jordan","Denmark",2015-11-01
"4732",201511,11,"Latvia","Denmark",2015-11-01
"4733",201511,194,"Lithuania","Denmark",2015-11-01
"4734",201511,477430,"Netherlands","Denmark",2015-11-01
"4735",201511,7613,"Poland","Denmark",2015-11-01
"4736",201511,1200,"Portugal","Denmark",2015-11-01
"4737",201511,558,"Romania","Denmark",2015-11-01
"4738",201511,74,"Slovakia","Denmark",2015-11-01
"4739",201511,1982941,"Spain","Denmark",2015-11-01
"4740",201511,23742,"Sweden","Denmark",2015-11-01
"4741",201511,20234,"Turkey","Denmark",2015-11-01
"4742",201511,133,"United Kingdom","Denmark",2015-11-01
"4743",201511,36135,"Albania","Greece",2015-11-01
"4744",201511,14394,"TFYR of Macedonia","Greece",2015-11-01
"4745",201511,20,"Netherlands","Greece",2015-11-01
"4746",201511,674,"Netherlands","Iceland",2015-11-01
"4747",201511,157,"Poland","Iceland",2015-11-01
"4748",201511,89,"Spain","Iceland",2015-11-01
"4749",201511,136894,"Spain","Portugal",2015-11-01
"4750",201511,57962,"Germany","Portugal",2015-11-01
