node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Paraguay,201412,0,0,0,0,22,32135486,1460703.90909091,7944181,1,11,0,40,0.021359704831627767,1,5.689098833325421,0,2014-12-01,-22,32135486,12
Antigua and Barbuda,201412,0,0,0,0,20,1595102,79755.1,438730,1,10,0,9,0.0013846681257445983,4,0.2823885385531448,0,2014-12-01,-20,1595102,12
El Salvador,201412,0,0,0,0,20,1087732,54386.6,186781,1,10,0,19,3.491879601220113e-4,2,0.19256640002801656,0,2014-12-01,-20,1087732,12
Azerbaijan,201412,0,0,0,0,8,130282,16285.25,44091,1,4,0,6,2.3061209296467995e-4,3,0.023064445771982488,0,2014-12-01,-8,130282,12
New Caledonia,201412,0,0,0,0,18,136510,7583.88888888889,39114,1,9,0,27,9.665610605871392e-4,1,0.024167018408785015,0,2014-12-01,-18,136510,12
Zambia,201412,0,0,0,0,12,2334764,194563.666666667,737302,1,6,0,4,2.2629872365659477e-5,4,0.4133344411996816,0,2014-12-01,-12,2334764,12
Aruba,201412,0,0,0,0,12,2390520,199210,765265,1,6,0,10,0.010750891411649489,2,0.4232051926347429,0,2014-12-01,-12,2390520,12
Niger,201412,0,0,0,0,10,534420,53442,127826,1,5,0,10,0.0019916997217385825,1,0.09461092944123425,0,2014-12-01,-10,534420,12
Montserrat,201412,0,0,0,0,8,125526,15690.75,38178,1,4,0,3,6.751155362437836e-4,3,0.022222468337712607,0,2014-12-01,-8,125526,12
Rwanda,201412,0,0,0,0,14,353446,25246.1428571429,84342,1,7,0,3,2.2756382883750716e-4,5,0.06257223638203376,0,2014-12-01,-14,353446,12
