"","node","period","deg_out_wei","tot_out_wei","ave_out_wei","max_out_wei","deg_in_wei","tot_in_wei","ave_in_wei","max_in_wei","ratio","degree_val","bet_val","tri_no","eigen_val","net_group"
"201","Albania","201402",0,0,0,0,36,4431922,123108.944444444,585999,1,13,0,39,0.0085836828523077,2
"202","Armenia","201402",0,0,0,0,19,8702898,458047.263157895,3219926,1,7,0,12,0.0213814989138269,12
"203","Malta","201402",0,0,0,0,31,2287426,73787.935483871,378695,1,10,0,45,0.00243322411189652,2
"204","Qatar","201402",0,0,0,0,55,30069473,546717.690909091,7894819,1,17,0,16,0.0833274473842371,16
"205","Panama","201402",0,0,0,0,9,2298632,255403.555555556,1149316,1,1,0,0,0.00624498733122818,3
"206","Togo","201402",0,0,0,0,15,1101734,73448.9333333333,221607,1,7,0,15,0.00148394356585778,20
"207","Mauritius","201402",0,0,0,0,8,69276,8659.5,18498,1,2,0,1,4.31263411054252e-05,6
"208","Cabo Verde","201402",0,0,0,0,20,2528969,126448.45,392357,1,7,0,12,0.0063773430721087,1
"209","Montserrat","201402",0,0,0,0,11,95688,8698.90909090909,43229,1,4,0,1,0.000235113429081516,10
"210","Rep. of Moldova","201402",0,0,0,0,19,3150234,165801.789473684,963775,1,7,0,12,0.00244326769003548,13
"211","New Caledonia","201402",0,0,0,0,16,3519314,219957.125,893507,1,5,0,3,0.00724879406510335,3
"212","Azerbaijan","201402",0,0,0,0,19,953096,50162.9473684211,288400,1,6,0,7,0.00257920685377668,12
"213","Niger","201402",0,0,0,0,30,333038,11101.2666666667,103837,1,10,0,25,0.000367527786661645,21
"214","Bermuda","201402",0,0,0,0,17,1216045,71532.0588235294,569890,1,3,0,1,0.0034079535390467,3
"215","Fiji","201402",0,0,0,0,6,297136,49522.6666666667,148568,1,1,0,0,1.35342688685679e-06,6
"216","Mozambique","201402",0,0,0,0,20,5641840,282092,2390840,1,7,0,9,0.0208836435756159,3
"217","Kazakhstan","201402",0,0,0,0,25,14006014,560240.56,3076874,1,8,0,15,0.00775227057835975,5
"218","Belize","201402",0,0,0,0,5,2488,497.6,1244,1,1,0,0,6.75946757901842e-06,3
"219","Zambia","201402",0,0,0,0,13,960770,73905.3846153846,317125,1,4,0,2,0.000758100260210354,3
"220","Aruba","201402",0,0,0,0,15,1134464,75630.9333333333,332010,1,3,0,1,0.00406058288171588,3
"221","Samoa","201402",0,0,0,0,12,2375423,197951.916666667,1110157,1,3,0,0,0.00603380773762648,6
"222","Guyana","201402",0,0,0,0,7,53632,7661.71428571429,26816,1,1,0,0,0.000145708908841619,3
"223","Peru","201402",0,0,0,0,13,4235966,325843.538461538,787077,1,4,0,2,0.0102318031384401,3
"224","Rwanda","201402",0,0,0,0,4,1206,301.5,525,1,2,0,0,7.14238500296652e-07,18
"225","French Polynesia","201402",0,0,0,0,28,5365165,191613.035714286,2178275,1,6,0,3,0.0121450410731516,6
"226","Benin","201402",0,0,0,0,69,32624436,472817.913043478,4126857,1,21,0,96,0.0515530601799109,2
"227","China","201403",28,67033473,2394052.60714286,22848646,0,0,0,0,-1,10,0,13,0.148964173794644,1
"228","Hungary","201403",268,80145533,299050.496268657,5738271,67,16298680,243263.880597015,1748258,-0.662008128989554,58,1104,359,0.102475496644664,2
"229","Belgium","201403",164,91972074,560805.329268293,22885976,104,56621117,544433.817307692,11219411,-0.237904285937301,66,550,415,0.336440731781915,2
"230","Bosnia Herzegovina","201403",7,313552,44793.1428571429,107854,26,2898514,111481.307692308,340445,0.804766153621999,12,9,38,0.00171336391351188,3
"231","Croatia","201403",33,2217574,67199.2121212121,300836,48,10261314,213777.375,1936898,0.644587883151127,16,0,76,0.00839144862040177,3
"232","France","201403",399,93779867,235037.260651629,6020521,165,227170735,1376792.33333333,23566662,0.415611833001017,74,625,447,0.523155612378644,2
"233","Germany","201403",278,175296877,630564.305755396,17294039,122,118075809,967834.5,21358133,-0.195045656022661,67,387,432,0.491382661982485,2
"234","Italy","201403",171,41869291,244849.65497076,3987953,106,31435221,296558.688679245,6747104,-0.14233871443002,49,96,305,0.110102790629699,2
"235","Argentina","201403",47,22445747,477569.085106383,3130903,0,0,0,0,-1,18,0,55,0.0331913460196653,4
"236","Brazil","201403",138,419912364,3042843.2173913,66314328,2,958470,479235,479235,-0.995445300920995,47,1,284,0.74752237638745,5
"237","Canada","201403",37,9888238,267249.675675676,1647801,22,58560842,2661856.45454545,26916881,0.711077548449154,20,233,61,0.248892488613903,2
"238","Chile","201403",35,34881079,996602.257142857,5859223,12,21293718,1774476.5,4270080,-0.241876459295438,17,9,64,0.155905123623572,4
"239","Denmark","201403",92,27677361,300840.880434783,9434463,144,29129826,202290.458333333,4142739,0.0255683316971847,56,1501,336,0.0765056794618295,2
"240","Malaysia","201403",7,477094,68156.2857142857,161549,15,26468387,1764559.13333333,9071716,0.964588199409022,9,61,14,0.0166723040748901,6
"241","Netherlands","201403",241,370363011,1536775.97925311,65595725,104,61271641,589150.394230769,12209536,-0.716094893141249,75,116,453,0.82862767981613,2
"242","Thailand","201403",51,21370006,419019.725490196,3583001,29,3275395,112944.655172414,509267,-0.734198279021713,30,1047,113,0.0403947291936049,2
"243","United Kingdom","201403",146,73073065,500500.445205479,10851941,130,260121611,2000935.46923077,65595725,0.561379156010284,58,185,360,0.718685539142196,2
"244","Poland","201403",240,192272415,801135.0625,19918002,70,10284420,146920.285714286,1176587,-0.898453982063849,56,141,366,0.312781902560389,2
"245","Slovenia","201403",61,10539725,172782.37704918,1694270,87,8538805,98147.183908046,1945802,-0.104878101195428,31,953,151,0.0131240689910201,3
"246","Spain","201403",96,33855955,352666.197916667,6139177,97,44216306,455838.206185567,5852167,0.132702074556288,42,1018,228,0.148026580980627,2
"247","Finland","201403",36,3211864,89218.4444444444,400671,61,5308306,87021.4098360656,505615,0.246056358030415,24,180,86,0.0120088398142192,2
"248","Greece","201403",32,4213963,131686.34375,1416250,82,25142231,306612.573170732,3375271,0.712908083384379,23,39,115,0.0405196087568747,2
"249","Israel","201403",16,2657722,166107.625,505532,0,0,0,0,-1,6,0,15,0.0057776247514496,2
"250","Lithuania","201403",77,14760582,191695.87012987,1762377,64,12743550,199117.96875,4212240,-0.0733355991746985,31,210,155,0.0332447086037896,2
"251","Portugal","201403",57,4591469,80552.0877192982,1244798,85,25426384,299133.929411765,6139177,0.694084117208516,26,570,107,0.0341086828015401,7
"252","Romania","201403",64,22059725,344683.203125,2306325,96,33025286,344013.395833333,5738271,0.199066148865796,41,230,230,0.0830396282232035,2
"253","Ireland","201403",63,13776010,218666.825396825,2998613,83,60234548,725717.445783133,11958616,0.627728519490422,36,452,209,0.203346373004555,2
"254","Bulgaria","201403",48,29087497,605989.520833333,7962758,72,22250009,309027.902777778,4933323,-0.133186991982041,30,0,175,0.0723395026946514,2
"255","Norway","201403",10,1257850,125785,248780,22,507738,23079,117171,-0.424851097764597,11,0,35,0.00318578112099503,2
"256","Serbia","201403",15,2123551,141570.066666667,601956,28,1135358,40548.5,155361,-0.303228166236001,14,19,64,0.001862132243579,3
"257","Turkey","201403",25,11321588,452863.52,2743079,5,337188,67437.6,102571,-0.942157221306936,12,74,13,0.0194307042821043,1
"258","TFYR of Macedonia","201403",2,155754,77877,77877,59,11927132,202154.779661017,2006840,0.974219073158515,20,4,127,0.0239540978813108,2
"259","Austria","201403",70,17703696,252909.942857143,5658643,73,34945028,478699.01369863,13133661,0.327478629871448,31,210,165,0.0774786885366454,2
"260","United States of America","201403",183,421930626,2305631.83606557,95438033,0,0,0,0,-1,36,0,44,1,6
"261","Dominica","201403",3,175392,58464,87696,0,0,0,0,-1,1,0,0,5.54791831490011e-05,2
"262","Slovakia","201403",34,4048595,119076.323529412,1493006,109,22721151,208450.926605505,2992411,0.697524586150351,37,1375,148,0.029096924243244,2
"263","Sweden","201403",32,6554672,204833.5,2643420,47,18124553,385628.787234043,9434463,0.468810548143226,23,103,129,0.0221452985664217,2
"264","Switzerland","201403",10,734314,73431.4,163819,91,39229229,431090.428571429,5855182,0.963250805865736,20,0,111,0.0804654630296327,2
"265","Czech Rep.","201403",51,9382866,183977.764705882,1535168,80,44087478,551093.475,11062145,0.649044113125586,28,299,148,0.0751986101007943,2
"266","Latvia","201403",41,3244487,79133.8292682927,803413,67,8198840,122370.746268657,1314437,0.43294690433997,21,290,89,0.00804720987622425,2
"267","Russian Federation","201403",32,6964208,217631.5,2374931,74,95758758,1294037.27027027,17073506,0.864407965011446,26,244,140,0.184334042111744,2
"268","Ukraine","201403",22,10231478,465067.181818182,1747749,27,8802362,326013.407407407,1502341,-0.0750829049734578,19,148,57,0.0148376691405372,8
"269","Estonia","201403",21,3254542,154978.19047619,1314437,51,5459791,107054.725490196,1220264,0.253059987494166,19,21,88,0.00346370299057525,2
"270","Luxembourg","201403",7,49078,7011.14285714286,29179,72,5553863,77136.9861111111,1314732,0.982481343280252,16,992,76,0.0103651766422973,7
"271","Cyprus","201403",16,1339278,83704.875,300159,46,6132669,133318.891304348,1470883,0.641518335180911,21,59,115,0.0135806827066985,2
"272","Albania","201403",2,43200,21600,21600,0,0,0,0,-1,1,0,0,9.50659734664648e-05,2
"273","Japan","201403",9,1347686,149742.888888889,672874,40,159987148,3999678.7,66314328,0.983293304160216,13,738,27,0.472963888126813,9
"274","Viet Nam","201403",2,9314,4657,4657,0,0,0,0,-1,1,0,0,2.04963999274707e-05,2
"275","Gabon","201403",2,200422,100211,100211,0,0,0,0,-1,1,0,0,0.000171432155682144,2
"276","Australia","201403",15,2053398,136893.2,534891,2,8858,4429,4429,-0.991409407949353,6,241,5,0.00371949617394844,9
"277","Singapore","201403",2,135576,67788,67788,44,35997955,818135.340909091,14721886,0.992495834409319,15,73,64,0.114885733045416,2
"278","Guatemala","201403",6,807710,134618.333333333,227256,17,10725748,630926.352941177,5043035,0.859936196065395,6,62,4,0.0435694966892203,6
"279","Honduras","201403",4,141748,35437,37443,0,0,0,0,-1,2,0,1,1.48782585260529e-05,6
"280","Philippines","201403",5,3694338,738867.6,1798047,33,19922976,603726.545454545,5172473,0.687150028999911,14,144,47,0.0705219303843021,2
"281","New Zealand","201403",19,949725,49985.5263157895,142101,0,0,0,0,-1,5,0,1,0.000804355396143833,9
"282","Iraq","201403",3,205142,68380.6666666667,102571,0,0,0,0,-1,1,0,0,1.67669315613868e-05,1
"283","Bangladesh","201403",2,6004,3002,3002,0,0,0,0,-1,1,0,0,7.34849208960534e-07,2
"284","Uruguay","201403",6,277426,46237.6666666667,94975,0,0,0,0,-1,3,0,1,0.000661060423257352,10
"285","Panama","201403",4,3006802,751700.5,1502341,12,3376128,281344,1688064,0.0578615150095646,3,0,0,0.0143891325586624,6
"286","Mexico","201403",4,276872,69218,129984,14,202594512,14471036.5714286,95438033,0.997270467677196,4,0,3,0.811414193676009,10
"287","India","201403",4,11136,2784,3727,2,10738,5369,5369,-0.0181951174910853,3,109,1,5.48043462198188e-06,11
"288","Kyrgyzstan","201403",3,124690,41563.3333333333,62345,0,0,0,0,-1,1,0,0,7.78229647570635e-06,8
"289","Uzbekistan","201403",2,38728,19364,19364,0,0,0,0,-1,1,0,0,2.41713672236295e-06,8
"290","Ghana","201403",4,295824,73956,131056,0,0,0,0,-1,2,0,0,0.000108638547645058,12
"291","Belarus","201403",17,34316666,2018627.41176471,17073506,28,1901200,67900,307100,-0.895013140752136,9,0,25,0.0284773596991868,13
"292","Kazakhstan","201403",5,295872,59174.4,147936,29,10476848,361270.620689655,2374931,0.94507014013174,10,73,21,0.0110614741716824,13
"293","El Salvador","201403",3,559414,186471.333333333,279707,9,1452521,161391.222222222,465573,0.443904499896865,4,0,2,0.00410260289578802,6
"294","Antigua and Barbuda","201403",2,1218,609,609,17,3544729,208513.470588235,1357513,0.999313018496892,5,60,3,0.0138224142724204,14
