partner,United Kingdom,netweight_kg,Australia,Austria,Belgium,Canada,China,Comoros,Denmark,France,Czech Rep.,French Polynesia,Germany,Greece,Bulgaria,Guinea,Haiti,India,Indonesia,Ireland,Italy,Jamaica,Lebanon,Lithuania,Luxembourg,Madagascar,Japan,Malta,Mauritius,Mexico,Malaysia,Morocco,Netherlands,Costa Rica,New Zealand,Panama,Papua New Guinea,Peru,Poland,Norway,Portugal,Rep. of Korea,Rep. of Moldova,Romania,Hungary,Singapore,South Africa,Spain,Ecuador,Sri Lanka,Sweden,Estonia,Finland,Switzerland,Thailand,Tonga,Turkey,Uganda,United Rep. of Tanzania,United States of America,Viet Nam
Sweden,25065.0,2000.0,,,,,,,186543.0,39082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129975.0,,,,,,,,,73226.0,,,,,,,,
Switzerland,,,,,,,,,,92751.0,,,,,,,,,,,,,,,,,,,164533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17799.0,,,,,,,,,,,,,,,,,,,,,
Tonga,,,678838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191198.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,363816.0,6098.0,,,,,,,,,,,,,,,,,,,,,,,,596698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,3838362.0,49948.0,420848.0,,50223.0,418185.0,,,165655.0,1566809.0,,,,,,,,1294947.0,,,,,,,,,157775.0,,111578.0,,,,408538.0,,394761.0,,,,,,,,,,107711.0,,328033.0,,,,,,,,,,106203.0,,,,
United Kingdom,2867.0,5.0,75145.0,192564.0,,,,,562656.0,162647.0,,,,19175.0,,,,,,251752.0,24219.0,,,44612.0,,,,,,,,,,,,,,,,,49684.0,,,,,,,41974.0,,,189838.0,,19913.0,,,,,,,,
United Rep. of Tanzania,18527.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18971.0,,,,,,,,,,,,,,,,,,252622.0,,,,,,,,,,,,,,
United States of America,1154333.0,21496.0,106106.0,,1712607.0,1216688.0,,,,7411271.0,,,,,,,,165275.0,37991.0,406528.0,,,,,,,211089.0,,,,586564.0,,1885459.0,,111483.0,,,,,,,,,,,2272696.0,,,,,,,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60850.0,,,,,,,,,,,,,83880.0,,,,,,,,,,,,,,,
