,partner,period,trade_value_usd,reporter
518,Indonesia,201502,16743,Denmark
519,Ireland,201502,684,Denmark
520,Italy,201502,641,Denmark
521,Lithuania,201502,1165,Denmark
522,Madagascar,201502,125991,Denmark
523,Netherlands,201502,4480,Denmark
524,Poland,201502,607,Denmark
525,India,201502,2832,Denmark
526,Spain,201502,63521,Denmark
527,Turkey,201502,14841,Denmark
528,Uganda,201502,55644,Denmark
529,USA,201502,2630,Denmark
551,World,201503,455185,Denmark
552,Australia,201503,4979,Denmark
553,Canada,201503,4670,Denmark
554,France,201503,33437,Denmark
555,Germany,201503,12877,Denmark
556,Indonesia,201503,15045,Denmark
557,Ireland,201503,670,Denmark
558,Italy,201503,698,Denmark
559,Jamaica,201503,11898,Denmark
560,Lebanon,201503,11668,Denmark
561,Lithuania,201503,1323,Denmark
562,Madagascar,201503,138006,Denmark
563,Papua New Guinea,201503,31296,Denmark
564,Poland,201503,930,Denmark
565,Portugal,201503,144,Denmark
566,India,201503,88316,Denmark
567,Spain,201503,35074,Denmark
568,Turkey,201503,8595,Denmark
569,Uganda,201503,53923,Denmark
570,USA,201503,1636,Denmark
594,World,201504,885525,Denmark
595,Australia,201504,14008,Denmark
596,Austria,201504,188,Denmark
597,Belgium,201504,30715,Denmark
598,France,201504,178391,Denmark
599,Germany,201504,233569,Denmark
600,Indonesia,201504,10025,Denmark
601,Ireland,201504,529,Denmark
602,Italy,201504,166,Denmark
603,Lebanon,201504,13249,Denmark
604,Lithuania,201504,1534,Denmark
605,Madagascar,201504,105063,Denmark
606,Poland,201504,314,Denmark
607,India,201504,2197,Denmark
608,Spain,201504,117753,Denmark
609,Turkey,201504,7206,Denmark
610,Uganda,201504,155858,Denmark
611,USA,201504,14761,Denmark
631,World,201505,558000,Denmark
632,Australia,201505,9359,Denmark
633,Austria,201505,130,Denmark
634,Belgium,201505,20915,Denmark
635,France,201505,124985,Denmark
636,Germany,201505,12830,Denmark
637,Indonesia,201505,14609,Denmark
638,Ireland,201505,257,Denmark
639,Italy,201505,576,Denmark
640,Jamaica,201505,31910,Denmark
641,Lithuania,201505,2100,Denmark
642,Poland,201505,306,Denmark
643,India,201505,15743,Denmark
644,Spain,201505,82316,Denmark
645,Turkey,201505,15850,Denmark
646,Uganda,201505,217399,Denmark
647,USA,201505,8716,Denmark
667,World,201506,831054,Denmark
668,Australia,201506,9408,Denmark
669,Belgium,201506,4206,Denmark
670,Canada,201506,1251,Denmark
671,France,201506,219772,Denmark
672,Germany,201506,100583,Denmark
673,Indonesia,201506,18243,Denmark
674,Ireland,201506,306,Denmark
675,Italy,201506,476,Denmark
676,Jamaica,201506,3738,Denmark
677,Lithuania,201506,1380,Denmark
678,Madagascar,201506,59725,Denmark
679,Netherlands,201506,7585,Denmark
680,Poland,201506,586,Denmark
681,India,201506,5102,Denmark
682,Spain,201506,193946,Denmark
683,Turkey,201506,10518,Denmark
684,Uganda,201506,168332,Denmark
685,USA,201506,25898,Denmark
708,World,201507,768429,Denmark
709,Belgium,201507,13905,Denmark
710,France,201507,161176,Denmark
711,Germany,201507,31178,Denmark
712,Ireland,201507,404,Denmark
713,Italy,201507,647,Denmark
714,Jamaica,201507,11746,Denmark
715,Lebanon,201507,5624,Denmark
716,Lithuania,201507,1383,Denmark
717,Netherlands,201507,34064,Denmark
718,Papua New Guinea,201507,30868,Denmark
719,Poland,201507,110,Denmark
720,India,201507,12671,Denmark
721,South Africa,201507,8759,Denmark
722,Spain,201507,260438,Denmark
723,Turkey,201507,14502,Denmark
724,Uganda,201507,16041,Denmark
725,USA,201507,164911,Denmark
752,World,201508,1139034,Denmark
753,Australia,201508,10374,Denmark
754,Austria,201508,1326,Denmark
755,Belgium,201508,91356,Denmark
756,France,201508,101132,Denmark
757,Germany,201508,175901,Denmark
758,Indonesia,201508,14508,Denmark
759,Ireland,201508,440,Denmark
760,Italy,201508,657,Denmark
761,Lithuania,201508,1642,Denmark
762,Papua New Guinea,201508,33453,Denmark
763,Poland,201508,218,Denmark
764,Spain,201508,101119,Denmark
765,Turkey,201508,7253,Denmark
766,Uganda,201508,197637,Denmark
767,USA,201508,402018,Denmark
792,World,201509,820570,Denmark
793,Australia,201509,9288,Denmark
794,Belgium,201509,1279,Denmark
795,France,201509,170644,Denmark
796,Germany,201509,123703,Denmark
797,Ireland,201509,1350,Denmark
798,Italy,201509,642,Denmark
799,Jamaica,201509,53654,Denmark
800,Lithuania,201509,1292,Denmark
801,Madagascar,201509,50134,Denmark
802,Malta,201509,68,Denmark
803,Netherlands,201509,10097,Denmark
804,Poland,201509,333,Denmark
805,India,201509,5214,Denmark
806,Spain,201509,268414,Denmark
807,Turkey,201509,21196,Denmark
808,Uganda,201509,79598,Denmark
809,USA,201509,23665,Denmark
835,World,201510,981019,Denmark
836,Australia,201510,28744,Denmark
837,Belgium,201510,3814,Denmark
838,Denmark,201510,9539,Denmark
839,France,201510,254787,Denmark
840,Germany,201510,77032,Denmark
841,Indonesia,201510,27795,Denmark
842,Ireland,201510,2001,Denmark
843,Italy,201510,104,Denmark
844,Lithuania,201510,3167,Denmark
845,Madagascar,201510,239142,Denmark
846,Poland,201510,271,Denmark
847,Portugal,201510,49,Denmark
848,Spain,201510,261744,Denmark
849,Turkey,201510,13722,Denmark
850,Uganda,201510,17421,Denmark
851,USA,201510,41686,Denmark
877,World,201511,1062875,Denmark
878,Belgium,201511,32430,Denmark
879,Canada,201511,1888,Denmark
880,France,201511,175256,Denmark
881,Germany,201511,127193,Denmark
882,Indonesia,201511,7135,Denmark
883,Ireland,201511,2849,Denmark
884,Italy,201511,514,Denmark
885,Jamaica,201511,5755,Denmark
886,Lithuania,201511,2198,Denmark
887,Madagascar,201511,161262,Denmark
888,Mexico,201511,1398,Denmark
889,Netherlands,201511,35956,Denmark
890,Poland,201511,682,Denmark
891,India,201511,90674,Denmark
892,Spain,201511,158237,Denmark
893,Turkey,201511,15873,Denmark
894,Uganda,201511,235645,Denmark
895,United Rep. of Tanzania,201511,3306,Denmark
896,USA,201511,4625,Denmark
918,World,201512,1614454,Denmark
919,Belgium,201512,2944,Denmark
920,France,201512,204120,Denmark
921,Germany,201512,775749,Denmark
922,Ireland,201512,1142,Denmark
923,Italy,201512,552,Denmark
924,Jamaica,201512,32285,Denmark
925,Lithuania,201512,2180,Denmark
926,Madagascar,201512,202253,Denmark
927,New Zealand,201512,2953,Denmark
928,Papua New Guinea,201512,56248,Denmark
929,Poland,201512,729,Denmark
930,India,201512,111197,Denmark
931,Spain,201512,194615,Denmark
932,Turkey,201512,19502,Denmark
933,USA,201512,7985,Denmark
961,World,201601,713002,Denmark
962,Australia,201601,7660,Denmark
963,France,201601,189942,Denmark
964,Germany,201601,161125,Denmark
965,Indonesia,201601,15522,Denmark
966,Ireland,201601,269,Denmark
967,Italy,201601,529,Denmark
968,Lithuania,201601,255,Denmark
969,Madagascar,201601,102639,Denmark
970,Netherlands,201601,4065,Denmark
971,Poland,201601,336,Denmark
972,Spain,201601,15974,Denmark
973,Turkey,201601,9487,Denmark
974,Uganda,201601,172739,Denmark
975,USA,201601,32460,Denmark
1005,World,201602,736653,Denmark
1006,Australia,201602,33883,Denmark
1007,Belgium,201602,1355,Denmark
1008,Sri Lanka,201602,2836,Denmark
1009,Denmark,201602,20289,Denmark
1010,France,201602,262991,Denmark
1011,Germany,201602,10517,Denmark
1012,Ireland,201602,304,Denmark
1013,Italy,201602,150,Denmark
1014,Jamaica,201602,15728,Denmark
1015,Lithuania,201602,1042,Denmark
1016,Madagascar,201602,260096,Denmark
1017,India,201602,21403,Denmark
1018,Turkey,201602,1552,Denmark
1019,Uganda,201602,101778,Denmark
1020,USA,201602,2728,Denmark
1043,World,201603,1550987,Denmark
1044,Australia,201603,12907,Denmark
1045,Austria,201603,47,Denmark
1046,Belgium,201603,2733,Denmark
1047,France,201603,334215,Denmark
1048,Germany,201603,50249,Denmark
1049,Indonesia,201603,15766,Denmark
1050,Ireland,201603,491,Denmark
1051,Italy,201603,201,Denmark
1052,Jamaica,201603,25504,Denmark
1053,Lithuania,201603,1485,Denmark
1054,Madagascar,201603,264727,Denmark
1055,Netherlands,201603,6998,Denmark
1056,Papua New Guinea,201603,94166,Denmark
1057,Poland,201603,518,Denmark
1058,India,201603,243557,Denmark
1059,Spain,201603,18163,Denmark
1060,Uganda,201603,452052,Denmark
1061,United Kingdom,201603,2867,Denmark
1062,USA,201603,24342,Denmark
1089,World,201604,969166,Denmark
1090,Australia,201604,65991,Denmark
1091,Austria,201604,72,Denmark
1092,Belgium,201604,2473,Denmark
1093,France,201604,259883,Denmark
1094,Germany,201604,24267,Denmark
1095,Indonesia,201604,18258,Denmark
1096,Ireland,201604,624,Denmark
1097,Italy,201604,801,Denmark
1098,Jamaica,201604,8586,Denmark
1099,Lithuania,201604,660,Denmark
1100,Madagascar,201604,43098,Denmark
1101,Mauritius,201604,102576,Denmark
1102,Netherlands,201604,10330,Denmark
1103,Poland,201604,1141,Denmark
1104,India,201604,275057,Denmark
1105,Turkey,201604,44261,Denmark
1106,Uganda,201604,103882,Denmark
1107,USA,201604,7206,Denmark
1134,World,201605,973475,Denmark
1135,Belgium,201605,1346,Denmark
1136,China,201605,48404,Denmark
1137,France,201605,312797,Denmark
1138,Germany,201605,2523,Denmark
1139,Indonesia,201605,61483,Denmark
1140,Ireland,201605,315,Denmark
1141,Italy,201605,1416,Denmark
1142,Jamaica,201605,8447,Denmark
1143,Lebanon,201605,2428,Denmark
1144,Lithuania,201605,1470,Denmark
1145,Madagascar,201605,106760,Denmark
1146,Mauritius,201605,109669,Denmark
1147,Netherlands,201605,28615,Denmark
1148,Poland,201605,520,Denmark
1149,India,201605,246117,Denmark
1150,USA,201605,41162,Denmark
1175,World,201606,1108420,Denmark
1176,Belgium,201606,10552,Denmark
1177,France,201606,181661,Denmark
1178,Germany,201606,188944,Denmark
1179,Indonesia,201606,32206,Denmark
1180,Ireland,201606,377,Denmark
1181,Italy,201606,314,Denmark
1182,Lithuania,201606,1119,Denmark
1183,Madagascar,201606,39523,Denmark
1184,Mexico,201606,16637,Denmark
1185,Netherlands,201606,78468,Denmark
1186,Papua New Guinea,201606,76249,Denmark
1187,Poland,201606,679,Denmark
1188,India,201606,343379,Denmark
1189,Spain,201606,15837,Denmark
1190,Turkey,201606,1436,Denmark
1191,Uganda,201606,121039,Denmark
1211,World,201607,2583504,Denmark
1212,Australia,201607,27989,Denmark
1213,Belgium,201607,2788,Denmark
1214,France,201607,380059,Denmark
1215,Germany,201607,30061,Denmark
1216,Indonesia,201607,13552,Denmark
1217,Ireland,201607,331,Denmark
1218,Italy,201607,92,Denmark
1219,Jamaica,201607,17777,Denmark
1220,Lithuania,201607,1835,Denmark
1221,Madagascar,201607,231910,Denmark
1222,Netherlands,201607,939748,Denmark
1223,Papua New Guinea,201607,183000,Denmark
1224,Poland,201607,2013,Denmark
1225,India,201607,243220,Denmark
1226,Sweden,201607,4083,Denmark
1227,Uganda,201607,464414,Denmark
1228,USA,201607,40629,Denmark
1251,World,201608,1262907,Denmark
1252,Belgium,201608,4458,Denmark
1253,France,201608,313260,Denmark
1254,Germany,201608,19929,Denmark
1255,Indonesia,201608,47861,Denmark
1256,Ireland,201608,341,Denmark
1257,Italy,201608,603,Denmark
1258,Jamaica,201608,38870,Denmark
1259,Lebanon,201608,1352,Denmark
1260,Lithuania,201608,1020,Denmark
1261,Madagascar,201608,165659,Denmark
1262,Mexico,201608,10894,Denmark
1263,Netherlands,201608,14593,Denmark
1264,Papua New Guinea,201608,82698,Denmark
1265,Poland,201608,690,Denmark
1266,India,201608,415191,Denmark
1267,Uganda,201608,145487,Denmark
1291,World,201609,423622,Denmark
1292,Australia,201609,15650,Denmark
1293,Belgium,201609,5854,Denmark
1294,China,201609,858,Denmark
1295,France,201609,167616,Denmark
1296,Germany,201609,671,Denmark
1297,Indonesia,201609,39273,Denmark
1298,Ireland,201609,611,Denmark
1299,Lebanon,201609,2380,Denmark
1300,Lithuania,201609,1319,Denmark
1301,Mauritius,201609,18280,Denmark
1302,Mexico,201609,19992,Denmark
1303,Papua New Guinea,201609,68155,Denmark
1304,Poland,201609,407,Denmark
1305,India,201609,23801,Denmark
1306,Uganda,201609,15704,Denmark
1307,USA,201609,43050,Denmark
1336,World,201610,1480762,Denmark
1337,Australia,201610,17098,Denmark
1338,Belgium,201610,2822,Denmark
1339,China,201610,46023,Denmark
1340,France,201610,396270,Denmark
1341,Germany,201610,110874,Denmark
1342,Indonesia,201610,27218,Denmark
1343,Ireland,201610,347,Denmark
1344,Italy,201610,393,Denmark
1345,Jamaica,201610,15276,Denmark
1346,Lithuania,201610,1996,Denmark
1347,Madagascar,201610,530991,Denmark
1348,Netherlands,201610,2603,Denmark
1349,Poland,201610,753,Denmark
1350,India,201610,281145,Denmark
1351,Uganda,201610,40623,Denmark
1352,USA,201610,6331,Denmark
1376,World,201611,1395523,Denmark
1377,France,201611,289615,Denmark
1378,Germany,201611,151790,Denmark
1379,Indonesia,201611,18932,Denmark
1380,Ireland,201611,4154,Denmark
1381,Italy,201611,1394,Denmark
1382,Jamaica,201611,48786,Denmark
1383,Lithuania,201611,2575,Denmark
1384,Madagascar,201611,305639,Denmark
1385,Poland,201611,613,Denmark
1386,India,201611,299612,Denmark
1387,Uganda,201611,264751,Denmark
1388,USA,201611,7662,Denmark
1411,World,201612,914879,Denmark
1412,Australia,201612,10303,Denmark
1413,France,201612,303248,Denmark
1414,Germany,201612,80853,Denmark
1415,Indonesia,201612,63494,Denmark
1416,Ireland,201612,1313,Denmark
1417,Italy,201612,1524,Denmark
1418,Lebanon,201612,1043,Denmark
1419,Lithuania,201612,1003,Denmark
1420,Madagascar,201612,287669,Denmark
1421,Mexico,201612,5115,Denmark
1422,Papua New Guinea,201612,69727,Denmark
1423,Poland,201612,1264,Denmark
1424,India,201612,88325,Denmark
23,World,201401,367020,France
24,Australia,201401,6642,France
25,Sri Lanka,201401,1858,France
26,France,201401,79063,France
27,Germany,201401,443,France
28,Indonesia,201401,32233,France
29,Ireland,201401,4367,France
30,Lithuania,201401,652,France
31,Netherlands,201401,38493,France
32,Poland,201401,471,France
33,India,201401,72578,France
34,South Africa,201401,6235,France
35,Spain,201401,31316,France
36,Sweden,201401,11316,France
37,Turkey,201401,23037,France
38,Uganda,201401,53327,France
39,USA,201401,4987,France
66,World,201402,526078,France
67,Belgium,201402,643,France
68,France,201402,76862,France
69,Germany,201402,189161,France
70,Ireland,201402,4770,France
71,Jamaica,201402,3310,France
72,Lithuania,201402,820,France
73,Madagascar,201402,5740,France
74,Netherlands,201402,18104,France
75,Poland,201402,227,France
76,Spain,201402,32183,France
77,Turkey,201402,6023,France
78,Uganda,201402,21106,France
79,USA,201402,167130,France
100,World,201403,535666,France
101,Australia,201403,3351,France
102,Belgium,201403,765,France
103,China,201403,2934,France
104,France,201403,278688,France
105,Germany,201403,28737,France
106,Ireland,201403,8274,France
107,Italy,201403,186,France
108,Jamaica,201403,21898,France
109,Lithuania,201403,826,France
110,Madagascar,201403,17372,France
111,Netherlands,201403,68926,France
112,Poland,201403,846,France
113,Spain,201403,49470,France
114,Turkey,201403,4129,France
115,Uganda,201403,37239,France
116,USA,201403,12024,France
137,World,201404,478434,France
138,Australia,201404,6749,France
139,Belgium,201404,5637,France
140,France,201404,155161,France
141,Germany,201404,68247,France
142,Indonesia,201404,4782,France
143,Italy,201404,271,France
144,Jamaica,201404,15540,France
145,Lithuania,201404,767,France
146,Madagascar,201404,115695,France
147,Netherlands,201404,53825,France
148,Poland,201404,164,France
149,Spain,201404,5604,France
150,Turkey,201404,13263,France
151,Uganda,201404,26433,France
152,USA,201404,6295,France
177,World,201405,593294,France
178,Australia,201405,10191,France
179,Belgium,201405,1623,France
180,France,201405,146098,France
181,Germany,201405,86508,France
182,Italy,201405,509,France
183,Jamaica,201405,29556,France
184,Lithuania,201405,841,France
185,Madagascar,201405,2568,France
186,Mauritius,201405,20657,France
187,Netherlands,201405,54735,France
188,New Zealand,201405,2130,France
189,Poland,201405,345,France
190,India,201405,1436,France
191,Spain,201405,119355,France
192,Turkey,201405,12992,France
193,Uganda,201405,84993,France
194,USA,201405,18758,France
215,World,201406,490455,France
216,Belgium,201406,1060,France
217,France,201406,136812,France
218,Germany,201406,16265,France
219,Indonesia,201406,4757,France
220,Jamaica,201406,10465,France
221,Lithuania,201406,761,France
222,Madagascar,201406,171754,France
223,Netherlands,201406,18532,France
224,Poland,201406,778,France
225,Spain,201406,89880,France
226,Turkey,201406,19161,France
227,Uganda,201406,9017,France
228,United Rep. of Tanzania,201406,6038,France
229,USA,201406,5178,France
249,World,201407,512017,France
250,Belgium,201407,551,France
251,Sri Lanka,201407,2274,France
252,France,201407,147970,France
253,Germany,201407,112066,France
254,Italy,201407,811,France
255,Lithuania,201407,659,France
256,Madagascar,201407,66178,France
257,Poland,201407,405,France
258,Spain,201407,159268,France
259,Turkey,201407,2721,France
260,Uganda,201407,19114,France
278,World,201408,348858,France
279,Australia,201408,16918,France
280,Belgium,201408,5806,France
281,France,201408,88747,France
282,Germany,201408,50057,France
283,Ireland,201408,464,France
284,Italy,201408,197,France
285,Jamaica,201408,1897,France
286,Lithuania,201408,1097,France
287,Madagascar,201408,33337,France
288,Poland,201408,159,France
289,India,201408,7810,France
290,Spain,201408,46256,France
291,Turkey,201408,5697,France
292,Uganda,201408,87165,France
293,USA,201408,3250,France
318,World,201409,1063319,France
319,Australia,201409,9946,France
320,Austria,201409,4726,France
321,Belgium,201409,945,France
322,France,201409,371655,France
323,Germany,201409,180304,France
324,Ireland,201409,251,France
325,Italy,201409,77,France
326,Jamaica,201409,32327,France
327,Lebanon,201409,4697,France
328,Lithuania,201409,1121,France
329,Madagascar,201409,229009,France
330,New Zealand,201409,1716,France
331,Papua New Guinea,201409,34581,France
332,Poland,201409,262,France
333,Spain,201409,35487,France
334,Turkey,201409,28665,France
335,Uganda,201409,117521,France
336,USA,201409,10030,France
360,World,201410,847713,France
361,Australia,201410,7230,France
362,Belgium,201410,892,France
363,Denmark,201410,10207,France
364,France,201410,209102,France
365,Germany,201410,195120,France
366,Ireland,201410,180,France
367,Italy,201410,525,France
368,Jamaica,201410,14943,France
369,Lithuania,201410,2053,France
370,Madagascar,201410,111311,France
371,Netherlands,201410,44729,France
372,Papua New Guinea,201410,34091,France
373,Poland,201410,283,France
374,India,201410,7961,France
375,Spain,201410,57465,France
376,Uganda,201410,151623,France
399,World,201411,294313,France
400,Belgium,201411,61884,France
401,France,201411,84443,France
402,Germany,201411,21,France
403,Greece,201411,2915,France
404,Indonesia,201411,9631,France
405,Ireland,201411,491,France
406,Italy,201411,827,France
407,Lithuania,201411,1008,France
408,Rep. of Moldova,201411,6500,France
409,Papua New Guinea,201411,31900,France
410,Poland,201411,423,France
411,Spain,201411,43577,France
412,Turkey,201411,9388,France
413,Uganda,201411,16357,France
414,United Rep. of Tanzania,201411,9183,France
415,USA,201411,15765,France
433,World,201412,527480,France
434,Australia,201412,20050,France
435,Belgium,201412,95998,France
436,Canada,201412,4791,France
437,Denmark,201412,2505,France
438,France,201412,131278,France
439,Germany,201412,29249,France
440,Ireland,201412,2419,France
441,Italy,201412,676,France
442,Jamaica,201412,42657,France
443,Lithuania,201412,1815,France
444,Madagascar,201412,22075,France
445,Netherlands,201412,45220,France
446,Papua New Guinea,201412,53847,France
447,Poland,201412,327,France
448,South Africa,201412,3505,France
449,Spain,201412,37901,France
450,Turkey,201412,8504,France
451,Uganda,201412,24664,France
474,World,201501,447046,France
475,Australia,201501,19480,France
476,Belgium,201501,145,France
477,France,201501,98195,France
478,Germany,201501,14427,France
479,Indonesia,201501,8123,France
480,Ireland,201501,746,France
481,Italy,201501,180,France
482,Lithuania,201501,1281,France
483,Madagascar,201501,59794,France
484,Mauritius,201501,20426,France
485,Poland,201501,398,France
486,India,201501,5890,France
487,Spain,201501,67202,France
488,Sweden,201501,9666,France
489,Turkey,201501,24442,France
490,Uganda,201501,109836,France
491,USA,201501,6815,France
513,World,201502,652270,France
514,Austria,201502,95,France
515,Belgium,201502,32714,France
516,France,201502,286806,France
517,Germany,201502,42876,France
518,Indonesia,201502,16743,France
519,Ireland,201502,684,France
520,Italy,201502,641,France
521,Lithuania,201502,1165,France
522,Madagascar,201502,125991,France
523,Netherlands,201502,4480,France
524,Poland,201502,607,France
525,India,201502,2832,France
526,Spain,201502,63521,France
527,Turkey,201502,14841,France
528,Uganda,201502,55644,France
529,USA,201502,2630,France
551,World,201503,455185,France
552,Australia,201503,4979,France
553,Canada,201503,4670,France
554,France,201503,33437,France
555,Germany,201503,12877,France
556,Indonesia,201503,15045,France
557,Ireland,201503,670,France
558,Italy,201503,698,France
559,Jamaica,201503,11898,France
560,Lebanon,201503,11668,France
561,Lithuania,201503,1323,France
562,Madagascar,201503,138006,France
563,Papua New Guinea,201503,31296,France
564,Poland,201503,930,France
565,Portugal,201503,144,France
566,India,201503,88316,France
567,Spain,201503,35074,France
568,Turkey,201503,8595,France
569,Uganda,201503,53923,France
570,USA,201503,1636,France
594,World,201504,885525,France
595,Australia,201504,14008,France
596,Austria,201504,188,France
597,Belgium,201504,30715,France
598,France,201504,178391,France
599,Germany,201504,233569,France
600,Indonesia,201504,10025,France
601,Ireland,201504,529,France
602,Italy,201504,166,France
603,Lebanon,201504,13249,France
604,Lithuania,201504,1534,France
605,Madagascar,201504,105063,France
606,Poland,201504,314,France
607,India,201504,2197,France
608,Spain,201504,117753,France
609,Turkey,201504,7206,France
610,Uganda,201504,155858,France
611,USA,201504,14761,France
631,World,201505,558000,France
632,Australia,201505,9359,France
633,Austria,201505,130,France
634,Belgium,201505,20915,France
635,France,201505,124985,France
636,Germany,201505,12830,France
637,Indonesia,201505,14609,France
638,Ireland,201505,257,France
639,Italy,201505,576,France
640,Jamaica,201505,31910,France
641,Lithuania,201505,2100,France
642,Poland,201505,306,France
643,India,201505,15743,France
644,Spain,201505,82316,France
645,Turkey,201505,15850,France
646,Uganda,201505,217399,France
647,USA,201505,8716,France
667,World,201506,831054,France
668,Australia,201506,9408,France
669,Belgium,201506,4206,France
670,Canada,201506,1251,France
671,France,201506,219772,France
672,Germany,201506,100583,France
673,Indonesia,201506,18243,France
674,Ireland,201506,306,France
675,Italy,201506,476,France
676,Jamaica,201506,3738,France
677,Lithuania,201506,1380,France
678,Madagascar,201506,59725,France
679,Netherlands,201506,7585,France
680,Poland,201506,586,France
681,India,201506,5102,France
682,Spain,201506,193946,France
683,Turkey,201506,10518,France
684,Uganda,201506,168332,France
685,USA,201506,25898,France
708,World,201507,768429,France
709,Belgium,201507,13905,France
710,France,201507,161176,France
711,Germany,201507,31178,France
712,Ireland,201507,404,France
713,Italy,201507,647,France
714,Jamaica,201507,11746,France
715,Lebanon,201507,5624,France
716,Lithuania,201507,1383,France
717,Netherlands,201507,34064,France
718,Papua New Guinea,201507,30868,France
719,Poland,201507,110,France
720,India,201507,12671,France
721,South Africa,201507,8759,France
722,Spain,201507,260438,France
723,Turkey,201507,14502,France
724,Uganda,201507,16041,France
725,USA,201507,164911,France
752,World,201508,1139034,France
753,Australia,201508,10374,France
754,Austria,201508,1326,France
755,Belgium,201508,91356,France
756,France,201508,101132,France
757,Germany,201508,175901,France
758,Indonesia,201508,14508,France
759,Ireland,201508,440,France
760,Italy,201508,657,France
761,Lithuania,201508,1642,France
762,Papua New Guinea,201508,33453,France
763,Poland,201508,218,France
764,Spain,201508,101119,France
765,Turkey,201508,7253,France
766,Uganda,201508,197637,France
767,USA,201508,402018,France
792,World,201509,820570,France
793,Australia,201509,9288,France
794,Belgium,201509,1279,France
795,France,201509,170644,France
796,Germany,201509,123703,France
797,Ireland,201509,1350,France
798,Italy,201509,642,France
799,Jamaica,201509,53654,France
800,Lithuania,201509,1292,France
801,Madagascar,201509,50134,France
802,Malta,201509,68,France
803,Netherlands,201509,10097,France
804,Poland,201509,333,France
805,India,201509,5214,France
806,Spain,201509,268414,France
807,Turkey,201509,21196,France
808,Uganda,201509,79598,France
809,USA,201509,23665,France
835,World,201510,981019,France
836,Australia,201510,28744,France
837,Belgium,201510,3814,France
838,Denmark,201510,9539,France
839,France,201510,254787,France
840,Germany,201510,77032,France
841,Indonesia,201510,27795,France
842,Ireland,201510,2001,France
843,Italy,201510,104,France
844,Lithuania,201510,3167,France
845,Madagascar,201510,239142,France
846,Poland,201510,271,France
847,Portugal,201510,49,France
848,Spain,201510,261744,France
849,Turkey,201510,13722,France
850,Uganda,201510,17421,France
851,USA,201510,41686,France
877,World,201511,1062875,France
878,Belgium,201511,32430,France
879,Canada,201511,1888,France
880,France,201511,175256,France
881,Germany,201511,127193,France
882,Indonesia,201511,7135,France
883,Ireland,201511,2849,France
884,Italy,201511,514,France
885,Jamaica,201511,5755,France
886,Lithuania,201511,2198,France
887,Madagascar,201511,161262,France
888,Mexico,201511,1398,France
889,Netherlands,201511,35956,France
890,Poland,201511,682,France
891,India,201511,90674,France
892,Spain,201511,158237,France
893,Turkey,201511,15873,France
894,Uganda,201511,235645,France
895,United Rep. of Tanzania,201511,3306,France
896,USA,201511,4625,France
918,World,201512,1614454,France
919,Belgium,201512,2944,France
920,France,201512,204120,France
921,Germany,201512,775749,France
922,Ireland,201512,1142,France
923,Italy,201512,552,France
924,Jamaica,201512,32285,France
925,Lithuania,201512,2180,France
926,Madagascar,201512,202253,France
927,New Zealand,201512,2953,France
928,Papua New Guinea,201512,56248,France
929,Poland,201512,729,France
930,India,201512,111197,France
931,Spain,201512,194615,France
932,Turkey,201512,19502,France
933,USA,201512,7985,France
961,World,201601,713002,France
962,Australia,201601,7660,France
963,France,201601,189942,France
964,Germany,201601,161125,France
965,Indonesia,201601,15522,France
966,Ireland,201601,269,France
967,Italy,201601,529,France
968,Lithuania,201601,255,France
969,Madagascar,201601,102639,France
970,Netherlands,201601,4065,France
971,Poland,201601,336,France
972,Spain,201601,15974,France
973,Turkey,201601,9487,France
974,Uganda,201601,172739,France
975,USA,201601,32460,France
1005,World,201602,736653,France
1006,Australia,201602,33883,France
1007,Belgium,201602,1355,France
1008,Sri Lanka,201602,2836,France
1009,Denmark,201602,20289,France
1010,France,201602,262991,France
1011,Germany,201602,10517,France
1012,Ireland,201602,304,France
1013,Italy,201602,150,France
1014,Jamaica,201602,15728,France
1015,Lithuania,201602,1042,France
1016,Madagascar,201602,260096,France
1017,India,201602,21403,France
1018,Turkey,201602,1552,France
1019,Uganda,201602,101778,France
1020,USA,201602,2728,France
1043,World,201603,1550987,France
1044,Australia,201603,12907,France
1045,Austria,201603,47,France
1046,Belgium,201603,2733,France
1047,France,201603,334215,France
1048,Germany,201603,50249,France
1049,Indonesia,201603,15766,France
1050,Ireland,201603,491,France
1051,Italy,201603,201,France
1052,Jamaica,201603,25504,France
1053,Lithuania,201603,1485,France
1054,Madagascar,201603,264727,France
1055,Netherlands,201603,6998,France
1056,Papua New Guinea,201603,94166,France
1057,Poland,201603,518,France
1058,India,201603,243557,France
1059,Spain,201603,18163,France
1060,Uganda,201603,452052,France
1061,United Kingdom,201603,2867,France
1062,USA,201603,24342,France
1089,World,201604,969166,France
1090,Australia,201604,65991,France
1091,Austria,201604,72,France
1092,Belgium,201604,2473,France
1093,France,201604,259883,France
1094,Germany,201604,24267,France
1095,Indonesia,201604,18258,France
1096,Ireland,201604,624,France
1097,Italy,201604,801,France
1098,Jamaica,201604,8586,France
1099,Lithuania,201604,660,France
1100,Madagascar,201604,43098,France
1101,Mauritius,201604,102576,France
1102,Netherlands,201604,10330,France
1103,Poland,201604,1141,France
1104,India,201604,275057,France
1105,Turkey,201604,44261,France
1106,Uganda,201604,103882,France
1107,USA,201604,7206,France
1134,World,201605,973475,France
1135,Belgium,201605,1346,France
1136,China,201605,48404,France
