"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"2556","Imports",428,"Latvia",616,"Poland","020712",2750,4869,1.77054545454545,2014-11-01
"2557","Imports",428,"Latvia",616,"Poland","020713",444464,284968,0.641149789409266,2014-11-01
"2558","Imports",428,"Latvia",616,"Poland","020714",184750,173211,0.937542625169148,2014-11-01
"2559","Exports",428,"Latvia",616,"Poland","020711",99287,42190,0.424929749111163,2014-11-01
"2560","Exports",428,"Latvia",616,"Poland","020713",43403,77795,1.79238762297537,2014-11-01
"2561","Exports",428,"Latvia",616,"Poland","020714",35041,25631,0.731457435575469,2014-11-01
"2562","Imports",440,"Lithuania",616,"Poland","020711",366724,586065,1.59810920474253,2014-11-01
"2563","Imports",440,"Lithuania",616,"Poland","020712",8554,13955,1.63140051437924,2014-11-01
"2564","Imports",440,"Lithuania",616,"Poland","020713",878675,1508160,1.7164025379122,2014-11-01
"2565","Imports",440,"Lithuania",616,"Poland","020714",352619,363380,1.03051735726095,2014-11-01
"2566","Imports",442,"Luxembourg",616,"Poland","020713",7547,32819,4.34861534384524,2014-11-01
"2567","Imports",442,"Luxembourg",616,"Poland","020714",28,195,6.96428571428571,2014-11-01
"2568","Imports",752,"Sweden",616,"Poland","020713",14000,43645,3.1175,2015-12-01
"2569","Imports",752,"Sweden",616,"Poland","020714",56000,133524,2.38435714285714,2015-12-01
"2570","Exports",246,"Finland",616,"Poland","020714",74442,85346,1.14647645146557,2014-11-01
"2571","Imports",804,"Ukraine",616,"Poland","020714",2374457,1826519,0.769236503335289,2014-11-01
"2572","Imports",251,"France",616,"Poland","020711",10400,37616,3.61692307692308,2014-11-01
"2573","Imports",251,"France",616,"Poland","020712",367231,621007,1.69105277059943,2014-11-01
"2574","Imports",251,"France",616,"Poland","020713",779952,2953512,3.78678687919257,2014-11-01
"2575","Imports",251,"France",616,"Poland","020714",2410249,6609892,2.74241043145335,2014-11-01
"2576","Exports",251,"France",616,"Poland","020711",230,2005,8.71739130434783,2014-11-01
"2577","Exports",251,"France",616,"Poland","020712",216,576,2.66666666666667,2014-11-01
"2578","Exports",251,"France",616,"Poland","020714",122,277,2.27049180327869,2014-11-01
"2579","Imports",40,"Austria",616,"Poland","020713",88400,350089,3.96028280542986,2014-11-01
"2580","Imports",40,"Austria",616,"Poland","020714",30300,75568,2.49399339933993,2014-11-01
