period,partner,United Kingdom,France,Belgium,China,Czechia,Chile,Georgia,Azerbaijan,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Argentina,Austria,Canada,Croatia,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,New Zealand,Poland,Portugal,Rep. of Moldova,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Denmark,Finland,Morocco,Norway,Turkey,USA
201411,Netherlands,9947.0,27127.0,12198.0,,,,,,,,,6653.0,,2862.0,,,,,35610.0,,,,,,,,,,,,,,42155.0,57241.0,61028.0,,,,,
201411,Poland,1532.0,,,,,,,,,32986.0,,,,1143031.0,,,,,64824.0,,,,,,,,,,2936.0,,,,,,,,,,,
201411,World,233107.0,577091.0,74495.0,,12912.0,,,,,134171.0,22624.0,66501.0,2043.0,3512141.0,,6623.0,9314115.0,,215438.0,40198.0,66441.0,,9279.0,337605.0,,11959.0,119199.0,,37301.0,,29690.0,,533590.0,500452.0,345946.0,,,536708.0,,
201412,France,4786.0,4270.0,,,,,,,,,,,,658615.0,,,,,,,,,,,,2017.0,37294.0,,,,,,507852.0,,,,,3930.0,,
201412,Ireland,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201412,Netherlands,1671.0,,1948.0,,,,,,,,,,,3662.0,,7016.0,,,,,,,,,,,,,,,,,112952.0,14684.0,114907.0,,,,,
201412,Poland,2133.0,,,,,,,,,,,,,641534.0,,,,,,,,,,,,,,,,,,,,,2884.0,,,,,
201412,World,9586.0,310058.0,33972.0,,39370.0,,,,,,13811.0,,,2296048.0,28564.0,10753.0,11721787.0,3241.0,79042.0,52086.0,,,3206.0,54873.0,,73687.0,56636.0,,68363.0,,,64136.0,845327.0,86139.0,127871.0,3001.0,,129939.0,,
201501,France,275.0,,50139.0,,,,,,,,,,,202032.0,,,,,,,,,,,,,,,,,,,98453.0,,,,,39792.0,,
201501,Ireland,1237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201501,Italy,1521.0,278422.0,,,,,,,,,,,,,,,,,,,,,14608.0,,,,,,,,,,,,,,,8292.0,,
201501,Lithuania,2561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.0,,,,,
201501,Netherlands,1860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,
201501,Poland,434.0,,,,,,,,,,,,,836213.0,,,,,,,,,,,,,,,,,,,,,13802.0,,,,,
201501,World,7889.0,407236.0,51470.0,,,,,,,,,2577.0,,1327875.0,,,5464945.0,,116670.0,,,,14608.0,,,,60126.0,39950.0,4071.0,,,,197022.0,45155.0,25883.0,,,52956.0,,148074.0
201502,France,254.0,,,,,,,,,,,,,157680.0,,,,,,,,,,,,,,,,,,,219248.0,,,,,,,
201502,Ireland,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201502,Lithuania,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201502,Poland,684.0,,,,,,,,,,,,,323445.0,,,,,,,,,,,,,,,,,,,,,12429.0,,,,,
201502,World,2484.0,299463.0,,,,,,,,,,,2172.0,577062.0,,,1281483.0,,,,,,,,,47507.0,8792.0,,2559.0,,,,397568.0,11959.0,81287.0,2620.0,,28294.0,,
201503,France,162.0,,19349.0,,,,,,,,,,,117257.0,,,,,,,,,,,,,,,,,13454.0,,73612.0,,,,,,,
201503,Ireland,852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201503,Italy,1648.0,5129.0,,,,,,,,,,,,,,,,,,,,,7294.0,,,,,,,,,,,,11629.0,,,,,
201503,Lithuania,1553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201503,Poland,855.0,,,,,,,,,,,,,329364.0,,,,,,,,,,,,,,,,,,,,,11391.0,,,,,
201503,World,5070.0,258370.0,19868.0,,,,,,,,,,2306.0,448237.0,,,9199009.0,,63555.0,,,,7294.0,,,,,4897.0,,,13454.0,,73612.0,10665.0,86419.0,,,41531.0,,
201504,France,136.0,,12201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30806.0,,,,,,,
201504,Ireland,2695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201504,Lithuania,1445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.0,,,,,
201504,Poland,940.0,,,,,,,,,,,2657.0,,95442.0,,,,,,,,,,,,,,,,,,,,,14940.0,,,,,
201504,World,5216.0,264179.0,12395.0,,,,,,,,,5663.0,,6012502.0,,2458.0,5960368.0,,,,39209.0,,,73168.0,,,2955.0,,13426.0,,,,30806.0,60211.0,128178.0,,,,,83987.0
201505,France,71.0,,16553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64012.0,,,,,,,
201505,Ireland,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201505,Lithuania,3777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980.0,,,,,
201505,World,4827.0,71887.0,17022.0,,,,,,,,,,,11492131.0,,2765.0,1211423.0,,,,,,,331088.0,,,102026.0,,25812.0,,,,64012.0,23845.0,96135.0,,,,,760992.0
201506,France,84.0,32484.0,11764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201506,Ireland,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201506,Lithuania,5144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201506,World,5950.0,35208.0,12718.0,,,,,,,,,,,4622184.0,22243.0,,435208.0,,,,,,,40423.0,,12346.0,51397.0,,19499.0,,,,,14511.0,27148.0,,,8438.0,,3511739.0
201507,France,1339.0,,12629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11722.0,,2142.0,8372.0,,,,
201507,Ireland,1308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201507,Lithuania,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042.0,,,,,
201507,Poland,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6279.0,,,,,,14092.0,,,,,
